ensembl	symbol	DMSO-48h-a	DMSO-48h-b	DMSO-48h-c	DMSO-48h-d	DMSO-loQ-48h-a	DMSO-loQ-48h-b	DMSO-loQ-48h-c	DMSO-loQ-48h-d	GiB-48h-a	GiB-48h-b	GiB-48h-c	GiB-48h-d	GiB-loQ-48h-a	GiB-loQ-48h-b	GiB-loQ-48h-c	GiB-loQ-48h-d
ENSG00000000003	TSPAN6	400.1227328	376.5875809	443.1110792	376.3950084	311.1221184	326.8995134	318.4961261	351.4533192	328.2623533	363.2388986	314.6043032	361.9713105	309.8663701	265.0238529	307.9024442	280.8370462
ENSG00000000419	DPM1	1878.605591	1848.589102	1909.129121	1885.82368	2134.593869	2014.345441	1888.832476	2106.292232	2809.560483	2946.424919	2876.525464	3017.503042	3132.682232	2997.187505	3346.005511	3230.751176
ENSG00000000457	SCYL3	370.9994631	333.4489725	405.3796984	402.412928	493.4641155	516.2390731	486.1783071	484.3773483	393.4952896	434.411136	385.1180659	375.7644646	319.3210339	403.0182512	370.3266223	365.7193319
ENSG00000000460	C1orf112	473.519806	520.8140587	497.1085851	479.7743596	423.7210947	468.1308359	440.7899089	479.4430841	737.8502749	807.605329	687.0095079	802.7291575	838.3425237	945.8092875	1015.693693	978.3608146
ENSG00000000938	FGR	1.816317565	0	0	0	0	1.593296319	0	0	0.780490933	0	0	1.909907498	0	0.902685948	0	0
ENSG00000000971	CFH	30.69691079	46.12354489	45.53246376	39.32506874	15.45824863	17.20232905	11.0993399	14.03864476	68.38145433	61.55568826	50.27142118	52.68959645	54.1572322	58.98314156	65.56089131	40.35880423
ENSG00000001036	FUCA2	985.2517833	980.9872331	1037.22889	912.6930984	1059.644174	980.8099345	971.5197272	1003.186157	1136.731012	1218.342413	1227.299762	1174.315891	1376.607256	1312.737963	1354.204438	1372.62662
ENSG00000001084	GCLC	863.7210386	786.3490949	829.8328041	839.3492668	992.1894318	937.6132689	939.2771382	924.8172971	783.8474544	734.4890326	871.1503359	754.504355	817.044504	709.3366414	739.1740723	702.7862968
ENSG00000001167	NFYA	1011.722133	1037.166136	1106.828185	1005.748742	1014.3014	956.4472279	1053.864975	1039.170594	1056.789363	959.8673539	1047.030816	985.5474323	1104.172502	1005.96458	835.7733898	941.6448419
ENSG00000001460	STPG1	178.4711731	137.707049	155.1835262	160.5893954	225.9438514	236.1801868	169.9603706	187.1932827	143.7273556	207.78915	190.3196532	184.7121716	194.7369792	213.4570002	165.9498085	181.3000759
ENSG00000001461	NIPAL3	4859.417696	4575.458228	4545.851247	4278.532203	3273.50542	3256.603012	3213.277776	3269.477657	3643.528245	3734.972243	3702.750037	3396.370916	2761.088784	3012.177098	3257.465958	2717.003586
ENSG00000001497	LAS1L	1802.095888	1871.714778	1924.117903	2012.489262	2062.163903	2062.018357	1916.42844	1933.454122	2140.211449	2206.584251	2220.725935	2259.707007	2652.496734	2618.260859	2469.759194	2475.234277
ENSG00000001561	ENPP4	84.81527516	79.67779405	99.91793582	88.11755901	108.4093326	110.1313071	114.3523787	117.8029934	134.2700708	148.2645155	148.1831042	141.919744	149.412448	130.3185991	166.7516467	157.8411082
ENSG00000001617	SEMA3F	806.3078293	791.9891711	801.2453011	669.5213278	540.5981818	482.8850247	464.6248218	438.8712221	1200.744136	1113.017024	1208.37251	1196.313278	730.985558	663.4387416	659.4061122	651.8831807
ENSG00000001626	CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
