ensembl	symbol	DMSO-48h-a	DMSO-48h-b	DMSO-48h-c	DMSO-48h-d	DMSO-loQ-48h-a	DMSO-loQ-48h-b	DMSO-loQ-48h-c	DMSO-loQ-48h-d	GiB-48h-a	GiB-48h-b	GiB-48h-c	GiB-48h-d	GiB-loQ-48h-a	GiB-loQ-48h-b	GiB-loQ-48h-c	GiB-loQ-48h-d
ENSG00000000003	TSPAN6	385	301	357	366	328	394	314	305	321	413	372	501	349	235	295	296
ENSG00000000419	DPM1	1815	1484	1660	1757	2128	2300	1942	1938	2599	3198	3260	3986	3510	2617	3115	3238
ENSG00000000457	SCYL3	376	272	379	364	499	565	477	466	367	472	411	506	349	334	347	349
ENSG00000000460	C1orf112	459	405	369	471	401	462	492	448	673	892	805	1073	950	784	1019	1094
ENSG00000000938	FGR	1	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0
ENSG00000000971	CFH	31	37	40	32	13	11	14	15	57	71	65	79	46	37	55	47
ENSG00000001036	FUCA2	982	784	924	826	1033	1130	979	956	1116	1407	1380	1588	1487	1156	1400	1368
ENSG00000001084	GCLC	847	640	763	773	982	1109	953	899	762	848	961	998	841	625	733	698
ENSG00000001167	NFYA	993	793	941	982	1003	1083	982	943	997	1147	1175	1407	1169	819	857	910
ENSG00000001460	STPG1	161	116	140	139	212	278	172	186	144	250	215	260	199	189	184	179
ENSG00000001461	NIPAL3	4508	3434	3812	3763	3388	3797	3352	3236	3413	4214	4013	4543	3046	2537	3279	2762
ENSG00000001497	LAS1L	1847	1509	1775	1867	2038	2393	1877	1873	2168	2694	2480	3065	2847	2288	2707	2484
ENSG00000001561	ENPP4	81	64	86	82	109	126	120	108	122	155	167	185	168	112	148	159
ENSG00000001617	SEMA3F	802	599	699	574	517	579	434	447	1228	1381	1332	1592	773	622	815	638
ENSG00000001626	CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	ANKIB1	2065	1693	1862	2004	2257	2510	2192	2057	1768	2044	2120	2387	1919	1416	1559	1596
ENSG00000001630	CYP51A1	1241	967	1080	1091	1240	1418	1190	1009	1455	1691	1702	1925	1591	1328	1488	1432
ENSG00000001631	KRIT1	702	550	640	586	829	886	615	752	606	596	713	747	674	489	533	645
ENSG00000002016	RAD52	270	168	236	233	367	421	394	366	271	332	321	396	397	301	395	361
ENSG00000002330	BAD	996	771	858	759	460	590	486	477	733	963	767	1010	600	541	708	519
ENSG00000002549	LAP3	1885	1507	1704	1765	1624	1858	1538	1457	2124	2514	2406	2917	2562	2085	2323	2281
ENSG00000002586	CD99	1138	851	927	1022	562	721	562	513	656	771	713	870	470	357	415	412
ENSG00000002587	HS3ST1	186	147	174	164	66	77	67	52	92	141	115	128	71	64	72	81
ENSG00000002726	AOC1	0	1	1	2	1	6	1	0	3	1	0	0	0	1	1	0
ENSG00000002745	WNT16	4	5	0	6	2	7	7	6	7	7	7	6	12	9	8	11
ENSG00000002746	HECW1	30	28	42	37	20	18	19	9	57	83	74	67	36	34	32	30
ENSG00000002822	MAD1L1	1227	926	1067	956	1030	1269	1023	1030	1403	1712	1476	1769	1604	1463	1843	1578
ENSG00000002834	LASP1	11601	9006	10329	9650	6154	7123	6077	5605	16773	19137	17483	21914	17626	14444	19250	15876
ENSG00000002919	SNX11	360	304	344	305	913	1064	940	903	530	627	614	738	979	834	973	987
ENSG00000002933	TMEM176A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	4551	3640	4204	4276	6948	7971	6631	6471	5568	6646	6448	7593	6509	5069	6030	5692
ENSG00000003096	KLHL13	92	92	79	73	11	24	12	21	102	118	123	161	73	56	89	84
ENSG00000003137	CYP26B1	112	82	104	79	119	130	121	127	72	70	69	93	30	51	45	46
ENSG00000003147	ICA1	144	172	117	136	117	156	136	211	99	115	143	112	25	10	33	10
ENSG00000003249	DBNDD1	987	682	790	696	134	170	114	157	713	976	814	992	410	306	430	335
ENSG00000003393	ALS2	262	193	358	265	438	482	488	367	393	221	344	289	376	434	490	470
ENSG00000003400	CASP10	103	80	90	70	74	99	77	86	78	111	87	111	92	74	78	74
ENSG00000003402	CFLAR	563	455	528	558	862	1054	890	790	440	516	483	594	496	384	519	435
ENSG00000003436	TFPI	64	47	49	42	62	59	47	45	73	115	94	104	92	40	88	83
ENSG00000003509	NDUFAF7	535	394	444	499	389	435	390	346	504	594	546	738	684	529	642	595
ENSG00000003756	RBM5	1174	1058	1255	1197	1704	1806	1649	1515	1266	1395	1391	1672	1309	1155	1286	1265
ENSG00000003987	MTMR7	26	15	19	24	16	18	22	15	24	28	27	36	29	14	28	25
ENSG00000003989	SLC7A2	481	323	373	426	163	199	177	159	445	458	538	574	545	458	453	533
ENSG00000004059	ARF5	2153	1651	1806	1827	1591	1947	1556	1690	1881	2344	2004	2595	1623	1386	1846	1546
ENSG00000004139	SARM1	947	722	846	869	1068	1179	1082	990	896	892	816	940	840	634	861	827
ENSG00000004142	POLDIP2	4965	4134	4630	4729	6158	7330	5920	5946	5463	6288	5937	7545	5726	4825	5870	5146
ENSG00000004399	PLXND1	2224	1757	2011	1847	1053	1131	972	934	1329	1459	1326	1739	689	582	797	616
ENSG00000004455	AK2	5813	4537	5252	5232	6607	7890	6614	6458	7296	8816	8585	10368	9221	7705	9132	8712
ENSG00000004468	CD38	0	0	1	2	1	1	1	1	1	0	0	4	2	1	2	1
ENSG00000004478	FKBP4	5592	4399	4942	5231	2747	3043	2562	2385	4908	5778	5454	6548	5371	4216	4785	4582
ENSG00000004487	KDM1A	4884	3933	4170	4126	1639	1908	1565	1708	2456	3421	3136	3716	2463	2060	2182	2127
ENSG00000004534	RBM6	1899	1450	1643	1732	1405	1597	1417	1248	1821	2250	2097	2412	1691	1300	1544	1374
ENSG00000004660	CAMKK1	175	127	171	154	24	41	22	37	73	117	89	108	50	45	50	39
ENSG00000004700	RECQL	1561	1359	1520	1614	1917	2268	2022	1958	1920	2156	2261	2569	2285	1670	1828	1987
ENSG00000004766	VPS50	111	103	73	89	157	212	147	200	165	166	163	261	242	141	227	265
ENSG00000004776	HSPB6	56	33	38	44	51	63	77	80	38	28	37	40	39	23	36	27
ENSG00000004777	ARHGAP33	423	295	352	354	270	272	236	243	252	287	252	343	162	181	228	187
ENSG00000004779	NDUFAB1	1844	1473	1563	1777	1704	1965	1672	1535	1885	2379	2281	2902	2436	1921	2123	2237
