direction,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,y
induced,GO:0002098,tRNA wobble uridine modification,10/3596,17/14222,0.00337513188674564,0.04840433047332778,0.04416700186583454,MOCS3/MTO1/ALKBH8/CTU1/DPH3/ELP6/URM1/ELP5/CTU2/KTI12,10,1
induced,GO:1900363,regulation of mRNA polyadenylation,10/3596,17/14222,0.00337513188674564,0.04840433047332778,0.04416700186583454,ZC3H3/SNRPA/ZC3H14/RNF40/CPSF6/VIRMA/NUDT21/HSF1/SUPT5H/CTR9,10,2
induced,GO:0001825,blastocyst formation,16/3596,33/14222,0.0033504316361292,0.04828563240303847,0.04405869465776711,CUL3/NLE1/SUPT6H/BYSL/SF3B6/RTN4/LATS1/WDR74/SKIL/FURIN/RPL7L1/EOMES/SP3/ZP3/RRP7A/CTR9,16,3
induced,GO:0009303,rRNA transcription,16/3596,33/14222,0.0033504316361292,0.04828563240303847,0.04405869465776711,DDX11/TCOF1/GTF3C1/NPM3/GTF3C2/POLR1G/GTF3C3/GTF3C4/IPPK/NOL11/GTF3C5/GTF3C6/NIFK/MARS1/CAVIN1/SIRT7,16,4
induced,GO:0043928,exonucleolytic catabolism of deadenylated mRNA,16/3596,33/14222,0.0033504316361292,0.04828563240303847,0.04405869465776711,EXOSC7/EXOSC5/LSM5/EXOSC3/HBS1L/EXOSC8/EXOSC9/LSM7/LSM4/LSM6/EXOSC1/LSM1/EXOSC4/EDC3/EXOSC6/DCP1A,16,5
induced,GO:0051983,regulation of chromosome segregation,38/3596,100/14222,0.00328334072729297,0.04766924315180907,0.04349626429372911,MAD1L1/CDC27/DDX11/TACC3/CUL3/RIOK2/CDC42/SPAG5/NDC80/ATRX/CDC6/CDC23/NAA10/ANAPC15/FBXO5/IK/ECT2/CDC20/DUSP1/XRCC3/PSMG2/KNSTRN/APC/NUMA1/RB1/ANAPC11/DYNC1LI1/MKI67/HNRNPU/BUB3/NSMCE2/PLK1/FEN1/IHO1/UBE2C/CDC26/AURKB/DYNC1H1,38,6
induced,GO:0000717,"nucleotide-excision repair, DNA duplex unwinding",12/3596,22/14222,0.00315824269238873,0.04596650255258847,0.04194258208208798,RBX1/GTF2H1/RAD23B/DDB2/CUL4A/RPS27A/GTF2H2/CETN2/XPC/GTF2H4/UBA52/GTF2H5,12,7
induced,GO:0035970,peptidyl-threonine dephosphorylation,12/3596,22/14222,0.00315824269238873,0.04596650255258847,0.04194258208208798,PPP2CB/PPP2CA/PPM1G/DUSP1/DUSP4/DUSP5/DUSP6/DUSP10/DUSP7/PPM1D/PPP1CA/PPM1E,12,8
induced,GO:0071459,"protein localization to chromosome, centromeric region",12/3596,22/14222,0.00315824269238873,0.04596650255258847,0.04194258208208798,CENPQ/NDC80/CENPT/IK/RB1/BOD1/BUB3/MIS12/CDK1/MTBP/HASPIN/AURKB,12,9
induced,GO:0006091,generation of precursor metabolites and energy,148/3596,480/14222,0.00305232170697,0.04475723600245291,0.04083917506346267,NDUFAB1/SLC25A13/CIAPIN1/CROT/UQCRC1/MDH1/COX15/GLRX2/AIFM2/NDUFB4/CYB5R4/MTFR1/RHOA/NUP37/SIRT6/TIGAR/PSEN1/GSK3B/OXCT1/SEH1L/NUP50/MSH2/NUP188/HIF1A/RAE1/SLC25A14/RUBCNL/CYB5B/GSR/OGDH/GLRX3/NUP88/PPARGC1A/NUP98/ATP5F1B/NUP107/COX6A1/GNPDA1/COQ10B/PARK7/SDHB/AKR1A1/NDUFB3/NDUFA8/NR4A3/NUP43/CISD1/NUP153/DMAC2L/PANK2/COX6B1/NR1D1/UQCR11/VGF/NDUFA5/NDUFA10/ATP5IF1/NDUFA2/PDHA1/SELENOS/PRKAA1/BLOC1S1/COQ10A/NDUFB5/ALDH1B1/UQCC2/FDX1/NDUFAF1/NDUFA9/NDUFB10/SH3BGRL3/DEGS1/NDUFS6/SRD5A1/MTFR2/NDUFB11/NDUFB9/SLC25A25/SLC25A4/ATP5PF/FLCN/UQCRB/PHKG2/SEC13/ATP5MC1/NDUFV3/FDXR/PRKAA2/NUP35/SUCLG1/GYG1/NDUFS4/UQCRQ/FOXK1/FXN/VCP/COX11/ATP5MG/NDUFV1/SDHAF2/COA6/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/CAVIN3/SLC25A33/CYCS/TEFM/PPP1CA/GLRX/PDE12/NDUFA11/COX8A/DNAJC30/TALDO1/FAHD1/PHLDA2/ZBTB20/PRKAG1/GLRX5/UQCR10/PPP1R2/NDUFA12/NDUFA6/IRS2/PPP1CC/LYRM7/NHLRC1/POM121/RPE/ADH5/CALM1/ND2/ND1/SDHD/UQCC3/ETFRF1/NUP62/PPP1CB/TREX1/ATP5MF/ATP5PO/EIF6/POLG2/THTPA/FDX2,148,10
induced,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,24/3596,56/14222,0.00302890037465427,0.04452483550741781,0.04062711897266534,MAD1L1/CDC27/CUL3/RIOK2/NDC80/CDC6/CDC23/ANAPC15/FBXO5/IK/CDC20/DUSP1/XRCC3/PSMG2/APC/RB1/ANAPC11/DYNC1LI1/BUB3/NSMCE2/PLK1/UBE2C/CDC26/AURKB,24,11
induced,GO:0035794,positive regulation of mitochondrial membrane permeability,25/3596,59/14222,0.00301728098925068,0.04446519352579949,0.04057269806677408,BAK1/CASP8/TP73/GSK3B/BAX/MUL1/E2F1/BBC3/YWHAE/ZNF205/YWHAH/ATP5IF1/YWHAQ/NMT1/PMAIP1/MPV17L/YWHAZ/MOAP1/YWHAG/BCL2/SFN/BLOC1S2/HSPA1A/SLC35F6/PPP3R1,25,12
induced,GO:1905710,positive regulation of membrane permeability,25/3596,59/14222,0.00301728098925068,0.04446519352579949,0.04057269806677408,BAK1/CASP8/TP73/GSK3B/BAX/MUL1/E2F1/BBC3/YWHAE/ZNF205/YWHAH/ATP5IF1/YWHAQ/NMT1/PMAIP1/MPV17L/YWHAZ/MOAP1/YWHAG/BCL2/SFN/BLOC1S2/HSPA1A/SLC35F6/PPP3R1,25,13
induced,GO:0051095,regulation of helicase activity,8/3596,12/14222,0.00299435288379504,0.04434960946275786,0.04046723226489022,MNAT1/MCM2/MSH2/SIRT1/SSBP1/MSH6/GTF2H2/CHTOP,8,14
induced,GO:1905818,regulation of chromosome separation,26/3596,62/14222,0.0029912665820615,0.04434960946275786,0.04046723226489022,MAD1L1/CDC27/TACC3/CUL3/RIOK2/NDC80/CDC6/CDC23/ANAPC15/FBXO5/IK/CDC20/DUSP1/XRCC3/PSMG2/APC/NUMA1/RB1/ANAPC11/DYNC1LI1/BUB3/NSMCE2/PLK1/UBE2C/CDC26/AURKB,26,15
induced,GO:0009266,response to temperature stimulus,71/3596,209/14222,0.00293543681160471,0.04369713532211575,0.03987187589273613,CREBBP/GLRX2/CASP8/NGFR/DNAJA2/EIF2B3/NUP37/HSP90AA1/GSK3B/SEH1L/WDR47/DNAJA1/NUP50/NUP188/SIRT1/CIRBP/HMOX1/RAE1/DNAJA3/DNAJB6/RPA3/NUP88/YWHAE/PPARGC1A/HSPA8/CHORDC1/NUP98/PTGES3/EIF2B1/NUP107/BAG2/EIF2B4/HTRA2/SUMO1/RPA2/EIF2B2/NUP43/CDKN1A/NUP153/VGF/DNAJB1/PRKAA1/EIF2S1/ANO3/RPTOR/SOD1/TRPM2/BAG3/HSPB8/EPHB1/SEC13/DNAJB4/IER5/NUP35/SLU7/TP53INP1/VCP/BAG5/DNAJC7/ARPP21/HSPA6/ATP2A2/IRAK1/HSF1/POM121/HSPA1B/HSPA1A/MICA/NUP62/HSBP1/PDCD6,71,16
induced,GO:0071478,cellular response to radiation,58/3596,165/14222,0.00290471326795331,0.04334952795828797,0.03955469817461399,CREBBP/CRY1/ERCC1/BAK1/RAD51/POLD3/GNB1/DNM2/ZMPSTE24/BAX/SIRT1/EEF1D/TMEM109/METAP2/RAD51AP1/RAD1/ECT2/GADD45A/CDKN1A/GNGT1/FIGNL1/PCNA/CASP9/EIF2S1/DDB2/MDM2/NMT1/SDE2/RHOB/CHEK1/XPC/C9orf116/RPL26/METAP1/CDC25A/TP53INP1/METTL3/TRIAP1/BCL2L1/COPS9/RAD9A/LIG4/HRAS/ERCC4/SWI5/AURKB/NPM1/RUVBL2/NSMCE3/HSF1/KDM4D/HYAL3/H2AX/NOC2L/MME/CALM1/TREX1/GTF2H5,58,17
induced,GO:0072401,signal transduction involved in DNA integrity checkpoint,29/3596,71/14222,0.00284854541925331,0.04261945818119465,0.03888853890969372,CNOT4/BAX/CDC5L/E2F1/BABAM1/PRPF19/GADD45A/CDK2/CDKN1A/E2F8/PCNA/MDM2/PML/DTL/CNOT9/PLK2/CHEK1/BTG2/RPL26/E2F7/PLK1/CRADD/CDK1/TRIAP1/PLK3/SFN/BRCC3/E2F4/TREX1,29,18
induced,GO:0072422,signal transduction involved in DNA damage checkpoint,29/3596,71/14222,0.00284854541925331,0.04261945818119465,0.03888853890969372,CNOT4/BAX/CDC5L/E2F1/BABAM1/PRPF19/GADD45A/CDK2/CDKN1A/E2F8/PCNA/MDM2/PML/DTL/CNOT9/PLK2/CHEK1/BTG2/RPL26/E2F7/PLK1/CRADD/CDK1/TRIAP1/PLK3/SFN/BRCC3/E2F4/TREX1,29,19
induced,GO:0002220,innate immune response activating cell surface receptor signaling pathway,37/3596,96/14222,0.00278442508453957,0.04187319564473841,0.0382076044040873,CREBBP/PSMB1/PSMC4/PSMA4/PSMC5/PSMD5/PSMD8/PSMC6/PSMA3/PSMC1/PSMB5/PSMA6/PSMD10/PSMD7/PSMA2/PSMD11/NFKB1/SKP1/PSMD14/PSMF1/KRAS/PSMB7/PDPK1/PSMB6/BCL10/PSMB4/PSMC2/PSMD6/PSMC3/MUC7/RELA/MUC13/HRAS/PSMD12/NRAS/IKBKG/PSMB3,37,20
induced,GO:0002758,innate immune response-activating signal transduction,37/3596,96/14222,0.00278442508453957,0.04187319564473841,0.0382076044040873,CREBBP/PSMB1/PSMC4/PSMA4/PSMC5/PSMD5/PSMD8/PSMC6/PSMA3/PSMC1/PSMB5/PSMA6/PSMD10/PSMD7/PSMA2/PSMD11/NFKB1/SKP1/PSMD14/PSMF1/KRAS/PSMB7/PDPK1/PSMB6/BCL10/PSMB4/PSMC2/PSMD6/PSMC3/MUC7/RELA/MUC13/HRAS/PSMD12/NRAS/IKBKG/PSMB3,37,21
induced,GO:0031570,DNA integrity checkpoint,56/3596,158/14222,0.00276211326502062,0.04175122364607017,0.03809630986824555,CRY1/THOC1/CNOT4/BAX/WDR76/CLSPN/CDC45/CDC6/MSH2/WAC/CDC5L/E2F1/BABAM1/PRPF19/RAD1/GADD45A/RPA2/CDK2/CDKN1A/E2F8/PCNA/MDM2/BRIP1/CUL4A/PML/TIPRL/DTL/CNOT9/PLK2/CHEK1/XPC/EME1/DONSON/BTG2/NAE1/RPL26/PEA15/E2F7/PLK1/RFWD3/CRADD/CDK1/SETMAR/TRIAP1/RAD9A/PLK3/SFN/RPS27L/BRCC3/H2AX/HUS1B/DDX39B/RPA4/PPP1R10/E2F4/TREX1,56,22
induced,GO:0070199,establishment of protein localization to chromosome,14/3596,27/14222,0.00272270366874447,0.041261591680973,0.03764954042211231,ACD/TCP1/DKC1/CCT7/NABP2/WRAP53/CCT6A/TERF1/CCT5/CCT8/LRWD1/CCT3/CCT2/RUVBL2,14,23
induced,GO:0090383,phagosome acidification,14/3596,27/14222,0.00272270366874447,0.041261591680973,0.03764954042211231,ATP6V0A1/ATP6V0A4/ATP6V0E1/ATP6V0B/RAB38/ATP6V1F/ATP6V1E1/ATP6V1G1/ATP6V1B2/ATP6V1C1/ATP6V0D1/ATP6V0E2/RAB39A/ATP6V0C,14,24
induced,GO:0032465,regulation of cytokinesis,32/3596,80/14222,0.00264435788247192,0.04028192836511635,0.03675563710651594,CUL3/RHOA/CDC42/ZFYVE26/CDC6/KIF3B/CCP110/ECT2/PIN1/E2F8/VPS4A/KIF23/BBS4/PLK2/CETN2/INCENP/FLCN/KLHL21/MAP9/E2F7/PLK1/PRKCE/BCL2L1/PLK3/AURKB/PRPF40A/KLHL9/CALM1/PRC1/MAP10/NUP62/PDXP,32,25
induced,GO:0097064,ncRNA export from nucleus,18/3596,38/14222,0.00263438473634545,0.04023423960963961,0.03671212303801165,NUP37/SEH1L/NUP50/NUP188/RAE1/NUP88/NUP98/NUP107/NCBP2/NUP43/NUP153/SEC13/NUP35/PHAX/NOL6/NPM1/POM121/NUP62,18,26
induced,GO:0070262,peptidyl-serine dephosphorylation,11/3596,19/14222,0.00250763622741279,0.0383981797322584,0.03503679235505211,PPP1R15A/PPP2CB/YWHAE/PPP2CA/DUSP1/SWAP70/NCK1/PPP1R15B/PPP1CA/PPP2R2D/PPP2R2A,11,27
