pathway,pval,padj,log2err,ES,NES,size,leadingEdge,culture,signed_log_padj
ADIPOGENESIS,0.00677164249865175,0.01354328499730351,0.40701791892395395,-0.36504939501744127,-1.3984498288758334,191,ANGPTL4;ENPP2;PGM1;IDH1;TANK;SQOR;PFKL;CCNG2;SLC27A1;PPARG;SLC25A1;CDKN2C;ITIH5;CRAT;LIFR;ALDH2;LIPE;PDCD4;COL15A1;C3;REEP6;FZD4;CPT2;PFKFB3;CD302;VEGFB;CAT;FAH;GPX3;ACLY;SCARB1;ACOX1;ABCA1;PLIN2;ACADS;APLP2;CMBL;ESRRA;BCL6;HADH;MGLL;MCCC1;ME1;ACADM;ADCY6;POR;GPX4;COX7B;STAT5A;DRAM2;LAMA4;SLC66A3;ITSN1,GiB-48h,-1.868275982388955
ALLOGRAFT_REJECTION,0.3439306358381503,0.4094412331406551,0.08175155825321447,-0.2867371419969102,-1.065918743063568,153,IL18;ICOSLG;ST8SIA4;HLA-DOA;IL1B;IL12RB1;GBP2;BCL3;HLA-DRA;HLA-E;PSMB10;IFNAR2;F2R;CCL2;AKT1;TGFB2;HLA-DMA;NOS2;IFNGR2;HLA-DQA1;IL4R;RIPK2;CD40;HLA-DMB;RPS9;CDKN2A;TAPBP;IKBKB;TGFB1;CTSS;CAPG;MMP9;EIF4G3;TRAF2;CSF1;APBB1;PTPN6;RPL3L;LYN;SOCS1,GiB-48h,-0.3878084234621275
ANDROGEN_RESPONSE,0.453030303030303,0.5267794221282593,0.06994587365016587,-0.283557720213743,-1.0023556794218595,100,ALDH1A3;IQGAP2;HOMER2;SLC26A2;LIFR;AKAP12;NDRG1;ABCC4;ZMIZ1;AKT1;CAMKK2;APPBP2;ITGAV;RPS6KA3;GPD1L;PTK2B;ANKH;SCD;MYL12A;HERC3;PLPP1,GiB-48h,-0.2783711984610067
ANGIOGENESIS,0.00260783079216898,0.00620912093373567,0.4317076958033464,-0.6162616231868435,-1.767506580860528,30,THBD;STC1;FSTL1;TNFRSF21;JAG2;VAV2;PDGFA;ITGAV;NRP1;PTK2;SERPINA5;COL5A2;APP,GiB-48h,-2.2069698814098375
APICAL_JUNCTION,2.0704056632971516e-4,0.00115022536849841,0.5188480777437918,-0.4218227145039328,-1.6023644178716427,182,CDH11;ITGB4;ITGA9;CLDN4;SLC30A3;CADM3;SDC3;NLGN2;TRAF1;WNK4;JUP;CRAT;INPPL1;ICAM5;CD99;MYH10;TGFBI;CNN2;MMP2;VAV2;ITGA10;PBX2;EVL;MDK;LAMB3;MVD;THBS3;PTK2;FBN1;PARD6G;CDH3;PKD1;RAC2;MAP4K2;MAPK11;ARHGEF6;MYL9;GAMT;CTNND1;CDH15;CERCAM;SRC;NF2;HADH;LAMC2;NRTN;TIAL1;CX3CL1;SIRPA;ITGA3;PLCG1;MMP9;NECTIN2,GiB-48h,-2.939217058162933
APICAL_SURFACE,0.09950248756218906,0.14632718759145452,0.18138312849840757,-0.43175968201437553,-1.3116386394329749,40,LYPD3;RTN4RL1;SULF2;GAS1;GATA3;CRYBG1;SRPX;AFAP1L2;ADAM10;APP;NCOA6;EPHB4;CX3CL1;GSTM3;PKHD1,GiB-48h,-0.8346749744627439
APOPTOSIS,0.4719424460431655,0.5362982341399608,0.06538341954687732,-0.2678784901710095,-0.9959190467087526,152,IL18;BGN;CCNA1;CD14;IL1B;DCN;TIMP3;GSN;CD44;PSEN2;SMAD7;PDCD4;CFLAR;MMP2;PDGFRB;BMF;F2R;BID;RNASEL;IER3;MADD;CTH;TGFB2;PTK2;ERBB2;LEF1;CTNNB1;GPX3;CDKN1B;APP;ANKH;CDC25B;IGFBP6;DAP,GiB-48h,-0.2705936330286034
BILE_ACID_METABOLISM,0.12042682926829268,0.1720383275261324,0.1563124030731863,-0.3506500812103628,-1.2364092364951569,98,ABCG4;IDH1;IDH2;PFKM;AMACR;SLC22A18;LIPE;RXRA;ABCA2;CAT;OPTN;ACSL5;ABCA1;HSD3B7;HSD17B4;ATXN1;PEX7;PEX11G;AR;RETSAT;IDI1;LONP2;ALDH9A1;PEX26;SOAT2;ABCA6;BCAR3;ABCA5;PAOX;GSTK1;SULT2B1;PEX16;CYP39A1;TFCP2L1,GiB-48h,-0.7643747880994757
CHOLESTEROL_HOMEOSTASIS,0.12788906009244994,0.17762369457284713,0.15214492236756472,-0.36809224789233247,-1.2535793698978408,74,CD9;CBS;ALDOC;PPARG;ACSS2;PCYT2;CXCL16;FBXO6;LSS;ABCA2;NIBAN1;FASN;MVD;PNRC1;SREBF2;GSTM2;CTNNB1;SCD;ETHE1;SQLE;TM7SF2;MVK;DHCR7;ACTG1;IDI1;GLDC;GPX8;FDFT1;HMGCS1,GiB-48h,-0.7504991008555637
COAGULATION,0.00624913709760157,0.01354328499730351,0.40701791892395395,-0.4197547694396711,-1.515342261410863,113,MMP1;FN1;ANG;SH2B2;THBD;CAPN5;CD9;CTSO;TIMP3;GSN;PDGFB;ITGB3;MMP15;A2M;MMP2;C3;LRP1;CFD;CAPN2;MMP14;HTRA1;C1R;MSRB2;FBN1;F2RL2;GDA;PREP;LTA4H;THBS1;CTSB;MMP9;MMP11;GNB2;ADAM9;MASP2;BMP1;APOC1;APOC2;CTSK;PRSS23;LAMP2;CFI,GiB-48h,-1.868275982388955
