direction,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,y
induced,GO:0000469,cleavage involved in rRNA processing,15/1364,27/5775,3.3886854317804137e-4,0.029406259135783364,0.029406259135783368,KRI1/EXOSC2/RPS21/NOP14/EXOSC9/TBL3/BOP1/EXOSC7/TSR1/EXOSC8/RRP36/UTP23/NHP2/ABT1/NOB1,15,1
induced,GO:0001510,RNA methylation,24/1364,52/5775,2.887031655589995e-4,0.02562240594336121,0.025622405943361206,FBLL1/TRMT2A/TRMT61B/FBL/LCMT2/NSUN2/WTAP/LARP7/MEPCE/FTSJ3/TFB1M/EMG1/GTPBP3/NSUN4/TRMT61A/NSUN5/HSD17B10/TFB2M/TRMT13/TRMT1/METTL1/FTSJ1/TRMT6/DIMT1,24,2
induced,GO:0071826,ribonucleoprotein complex subunit organization,61/1364,166/5775,8.031671968785694e-5,0.007293878846071659,0.007293878846071659,EIF3H/RPSA/RPS10/SMN1/RPL5/RPL13A/EIF3E/EIF3I/AAR2/RPL24/ZFAND1/EIF4B/RPL10/EIF3F/NOL3/DHX30/MRPS7/YTHDC1/EIF3K/RPS5/SART1/ERAL1/EIF3J/RPLP0/RPL12/RPS19/RPL3/EIF2D/RPS27/CLNS1A/EIF3B/SNRPD1/SNRPD2/RPL23A/RPS28/RPL11/SRPK2/RPL6/SF3A3/BOP1/EIF3A/TARBP2/CDC73/EIF3M/GEMIN5/GEMIN6/EIF3C/RPF2/GEMIN7/NLE1/ZNHIT6/NUFIP1/AGO2/ISY1/ABT1/PRPF19/RUVBL2/EIF3L/RUVBL1/LUC7L2/STRAP,61,3
induced,GO:0001522,pseudouridine synthesis,10/1364,13/5775,7.342472777094281e-5,0.006826751474893612,0.006826751474893611,RPUSD3/DKC1/TRUB2/RPUSD2/TRUB1/PUS3/NOP10/NHP2/GAR1/TSR3,10,4
induced,GO:0001732,formation of cytoplasmic translation initiation complex,11/1364,15/5775,6.426716848261401e-5,0.006121055924990433,0.006121055924990433,EIF3H/EIF3E/EIF3I/EIF3F/EIF3K/EIF3J/EIF3B/EIF3A/EIF3M/EIF3C/EIF3L,11,5
induced,GO:0009451,RNA modification,43/1364,105/5775,5.247801831498585e-5,0.005123166538000493,0.005123166538000493,FBLL1/RPUSD3/TRMT2A/TRMT61B/ELP5/FBL/LCMT2/DKC1/TRMU/MOCS3/TRUB2/NSUN2/WTAP/LARP7/AARS2/ALKBH5/MEPCE/CTU1/FTSJ3/RPUSD2/TFB1M/TRUB1/EMG1/GTPBP3/NSUN4/KTI12/TRMT61A/NSUN5/HSD17B10/URM1/QTRT1/PUS3/TFB2M/NOP10/TRMT13/NHP2/TRMT1/GAR1/METTL1/FTSJ1/TRMT6/TSR3/DIMT1,43,6
induced,GO:0022618,ribonucleoprotein complex assembly,60/1364,160/5775,4.649656050445305e-5,0.004655617147945876,0.004655617147945876,EIF3H/RPSA/RPS10/SMN1/RPL5/RPL13A/EIF3E/EIF3I/AAR2/RPL24/EIF4B/RPL10/EIF3F/NOL3/DHX30/MRPS7/YTHDC1/EIF3K/RPS5/SART1/ERAL1/EIF3J/RPLP0/RPL12/RPS19/RPL3/EIF2D/RPS27/CLNS1A/EIF3B/SNRPD1/SNRPD2/RPL23A/RPS28/RPL11/SRPK2/RPL6/SF3A3/BOP1/EIF3A/TARBP2/CDC73/EIF3M/GEMIN5/GEMIN6/EIF3C/RPF2/GEMIN7/NLE1/ZNHIT6/NUFIP1/AGO2/ISY1/ABT1/PRPF19/RUVBL2/EIF3L/RUVBL1/LUC7L2/STRAP,60,7
induced,GO:0042255,ribosome assembly,26/1364,53/5775,4.4833365109514775e-5,0.004607218177701452,0.004607218177701452,RPSA/DDX3X/RPS10/RPL5/RPL24/RPL10/DHX30/MRPS7/RPS5/ERAL1/RPLP0/RPL12/RPS19/RPL3/RPS27/RPL23A/RPS28/RPL11/RPL6/C1QBP/BOP1/NSUN4/RPF2/NLE1/ABT1/NIP7,26,8
induced,GO:0030490,maturation of SSU-rRNA,23/1364,44/5775,3.4010477546367e-5,0.0035894841842854905,0.00358948418428549,KRI1/RIOK3/RPS16/WDR46/RPS19/RPS8/RPS28/RPS21/NOP14/TBL3/BYSL/TSR1/SRFBP1/RRP36/RIOK1/UTP23/NOL11/FAM207A/UTP6/TSR3/ABT1/NOB1/DDX52,23,9
induced,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",11/1364,14/5775,2.180369150865156e-5,0.002365094870591232,0.002365094870591232,PES1/RPL7/RPL35/BOP1/RPL7L1/FTSJ3/NIFK/GTPBP4/WDR12/RPF2/ZNHIT6,11,10
induced,GO:0000470,maturation of LSU-rRNA,17/1364,26/5775,6.832582201668207e-6,7.623209570718385e-4,7.623209570718385e-4,PES1/RSL1D1/NSA2/RPL7/RPL35/RPL7A/RPL10A/BOP1/RPL7L1/FTSJ3/NIFK/GTPBP4/WDR12/RPF2/ZNHIT6/NHP2/RRP15,17,11
induced,GO:0046700,heterocycle catabolic process,126/1364,378/5775,5.858483959176882e-6,6.72864113546639e-4,6.728641135466389e-4,RPS17/GPX1/RPL17/SET/RPSA/PUM2/RPS10/RPL5/AIFM1/HINT1/RPL13A/EIF3E/RPL19/EXOSC2/ETF1/RPL37A/RPL24/RPL35A/RPL32/HNRNPD/RPS23/HSF1/RPL8/PDE12/RPL10/RPL21/RPL18/APEX1/RPL28/RPL22/RPS5/RPL18A/RPS16/GTPBP1/PSMD11/DFFA/CASC3/DKC1/RNASEH2A/PNP/RPLP1/RPLP2/RPLP0/CNP/PABPC1/RPS2/RPL7/RPS3/RPS12/RPL13/HMGB2/RPL12/HMOX2/RPL9/RPS19/RPL3/FEN1/RPS27/RPL35/RPL27A/RPS9/ZFP36L2/MAPKAPK2/RPL34/RPL14/RPS20/RPS3A/RPL27/RPS7/RPS8/RPS18/RPS13/RPS11/RPL7A/RPS4X/RPL23A/RPL23/RPS25/RPS28/RPL30/RPL31/RPL10A/RPL11/RPS27A/RPS21/YBX1/RBM10/RPL6/EXOSC9/BAX/NSUN2/CIRBP/KPNB1/EXOSC7/PSMF1/EDC4/ALKBH5/ZC3H14/LARP1/ZC3HAV1/PATL1/SERBP1/DIS3L/UPF1/KHSRP/TNPO1/TBRG4/EXOSC8/PDXP/SMG1/POP1/PELO/REXO4/NT5C3A/SMG9/DCTPP1/UPF2/EXOSC4/TREX1/AGO2/TNRC6B/EXOSC1/RPL36/HBS1L/RBM8A/DDX49,126,12
