pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signed_log_padj
ADIPOGENESIS,0.05410122164048865,0.12692368713311122,0.25720646646883816,-0.319999479437889,-1.3380918479012807,117,PDCD4;TANK;CAT;IDH1;ACOX1;CDKN2C;TST;SUCLG1;PGM1;PPARG;LAMA4;CPT2;ALDH2;NKIRAS1;DECR1;CRAT;UBQLN1;ACADM;SLC27A1;SCP2,-0.8964573201336714
ALLOGRAFT_REJECTION,0.33189655172413796,0.41487068965517243,0.10714023727672473,0.27743274163767273,1.062655564368814,57,ETS1;EIF3J;TIMP1;EIF3A;RPS3A;RPS19;GZMB;TGFB1;RPL9;FLNA;RPS9;CD96;TAP2,0.3820872467103614
ANDROGEN_RESPONSE,0.0708955223880597,0.1476990049751244,0.23112670967383428,-0.3736883850141401,-1.3520225650914286,53,ZBTB10;SCD;IDI1;SLC38A2;B2M;CAMKK2;NDRG1;HMGCS1;RPS6KA3;ANKH;ALDH1A3;ITGAV;GPD1L;MYL12A;ZMIZ1;SLC26A2;DBI;LMAN1;AKAP12,-0.830622430451547
ANGIOGENESIS,0.2665406427221172,0.3601900577325908,0.11284335567556247,-0.5195570933344754,-1.1778689747582374,8,COL5A2;APP;ITGAV;PTK2,-0.44346827911078207
APICAL_JUNCTION,0.055846422338568937,0.12692368713311122,0.2529611230696109,-0.3451845230250346,-1.3811577105015418,84,ITGB4;CTNND1;TRAF1;JUP;GNAI1;JAM3;CD99;MAP4K2;CRAT;PBX2;DSC1;EGFR;CTNNA1;RSU1;MYH10;NEGR1;INPPL1;HADH;WASL;PTK2;ARHGEF6;YWHAH;EXOC4;ITGA2;NF1;ADAM9;ARPC2;ITGA3;RRAS,-0.8964573201336714
APICAL_SURFACE,0.34896810506566606,0.4238344552480678,0.09560314922043013,-0.39926171860845877,-1.081047571055201,15,ADAM10;APP;EPHB4,-0.3728037406033729
APOPTOSIS,0.1637323943661972,0.2640845070422535,0.1429011493869481,-0.30059922967939384,-1.1978133331013647,83,PDCD4;CTH;TIMP3;DPYD;BID;APP;CTNNB1;GSN;CASP8;TOP2A;CASP3;ANKH;RNASEL;ADD1;F2R;MADD;IFITM3;SLC20A1;TXNIP;LGALS3;KRT18;CD44;IGF2R;ERBB2;ERBB3;PAK1;PTK2;XIAP;ANXA1;CASP4;SOD1;PPP3R1,-0.5782570766553377
BILE_ACID_METABOLISM,0.08571428571428572,0.17142857142857143,0.2114001893849227,-0.3984138257632668,-1.3674676081602894,41,CAT;IDH1;IDI1;RXRA;PEX12;AMACR;SCP2;SLC22A18;NUDT12;PFKM;NPC1;HSD17B4;ALDH9A1;ABCD3;SOD1,-0.765916793966632
CHOLESTEROL_HOMEOSTASIS,0.00902044424597996,0.03169927993105745,0.3807304007227924,-0.47735146406837897,-1.6578635338460428,44,CD9;CBS;SCD;IDI1;PPARG;GNAI1;CTNNB1;FBXO6;HMGCS1;PCYT2;GPX8;HSD17B7,-1.4989506029406128
COAGULATION,0.013106905263495663,0.038549721363222544,0.3807304007227924,-0.47674960051954296,-1.5963885832543718,36,CD9;TIMP3;LRP1;USP11;SPARC;ITGB3;CAPN5;MMP14;GSN;CTSB;GDA,-1.413978756675339
COMPLEMENT,0.009509783979317234,0.03169927993105745,0.3807304007227924,-0.4033602923448499,-1.5698951746026932,75,CDH13;APOBEC3G;APOBEC3F;LRP1;CEBPB;MMP14;ZEB1;USP16;HSPA5;CTSB;PLA2G4A;CASP3;GRB2;GNB4;CTSL;XPNPEP1;CTSC;KYNU;GCA;PREP;DOCK4;CD59;LGALS3,-1.4989506029406128
DNA_REPAIR,0.2824074074074074,0.371588693957115,0.12267918956880833,0.2543745612497008,1.0860457434245288,108,EDF1;POLE4;STX3;SNAPC4;GPX4;TAF1C;SAC3D1;IMPDH2;BOLA2;TYMS;ELL;RAD51;DDB2;VPS37B;FEN1;NT5C3A;COX17;NELFE;POLD4;POLR3C;PNP;TAF10;AK1;ERCC4;APRT;DAD1;ZWINT;SUPT5H;TSG101;NFX1,0.4299375084209552
E2F_TARGETS,0.7250608272506083,0.755271695052717,0.07011321576425601,0.19738253591000787,0.9031608143658175,160,RRM2;KIF18B;UBE2S;CDC20;POLE4;CDCA3;SLBP;CDCA8;CDK4;TACC3;PLK1;HMGA1;TK1;PA2G4;NAP1L1;UBE2T,0.12189679083938237
EPITHELIAL_MESENCHYMAL_TRANSITION,3.117965318108057e-4,0.002227118084362898,0.49849310876659025,-0.47699104240412976,-1.8225361456692393,71,COL6A2;TIMP3;SFRP1;PRRX1;COL5A2;ANPEP;LOXL2;LRP1;CDH2;IGFBP3;NT5E;SPARC;ITGB3;BASP1;MMP14;QSOX1;SERPINE2;PLOD2;LAMC1;TNC;TGM2;CADM1;COL12A1;CAP2;CD59;CD44;NNMT;ITGAV,-2.652256755562446
ESTROGEN_RESPONSE_EARLY,8.515328339711889e-4,0.004730737966506604,0.47727081536286214,-0.47117264354120075,-1.795410346445915,70,ALDH3B1;TFAP2C;ELF1;CANT1;PTGES;ADD3;DEPTOR;DYNLT3;TUBB2B;SLC1A1;TPBG;PODXL;NRIP1;TGM2;GLA;INPP5F;NAV2;KDM4B;SVIL;PAPSS2;KRT18;CD44;IL6ST;SLC26A2;NCOR2;PDLIM3;TGIF2,-2.325071106665418
ESTROGEN_RESPONSE_LATE,0.001362351687631981,0.006811758438159905,0.45505986738722953,-0.4497229425982273,-1.7183474018523948,71,ALDH3B1;CD9;PDCD4;TFAP2C;SERPINA3;CKB;PTGES;PKP3;TST;ATP2B4;JAK1;ADD3;DYNLT3;TPBG;TSPAN13;TOP2A;NRIP1;GLA,-2.1667407615952756
FATTY_ACID_METABOLISM,3.982820202625096e-5,4.97852525328137e-4,0.557332238758646,-0.47229749134620364,-1.9169955342550784,97,IDH1;IDI1;ACSL4;ACOX1;SUCLG1;PRDX6;CPT2;DECR1;BLVRA;LDHA;CRAT;ACADM;HMGCS1;HMGCL;PTPRG;GCDH;ECI2;SERINC1;CRYZ;BCKDHB;HSPH1;HSD17B7;MIF;AADAT;HIBCH;MDH1;ETFDH;UROD;HADH;SUCLA2;PDHB;HSD17B4;FH;ACAA2;HADHB;DLD;ALDH9A1;UROS;YWHAH;NSDHL;ME1;PDHA1;NBN;ACSS1;SDHC;PSME1;SUCLG2,-3.3028992855964896
G2M_CHECKPOINT,0.5771230502599654,0.6412478336221837,0.06464845684219278,-0.22067248357043345,-0.9522008496705694,142,SMAD3;TTK;ATRX;KPNA2;CDKN2C;NDC80;XPO1;HMGB3;TOP2A;PBK;RPA2;POLE;MARCKS;STAG1;NUP50;RAD21;CUL1;CENPF;CKS1B;RAD54L;DR1;ORC6;MAD2L1;SMC2;LMNB1;SMC1A;CHMP1A;STMN1;HNRNPU;SMC4,-0.19297408908873642
GLYCOLYSIS,3.612912460119075e-6,9.032281150297688e-5,0.6272567397185284,-0.4692821747494451,-1.9528649590117166,115,CTH;IDH1;VLDLR;IGFBP3;NT5E;SLC16A3;P4HA2;CAPN5;SLC37A4;TPBG;QSOX1;PGK1;AGL;HSPA5;LDHA;PLOD2;ENO1;ALDH7A1;GNE;UGP2;PRPS1;PPIA;PYGL;EGFR;COPB2;GOT1;PYGB;AGRN;P4HA1;EXT2;MIF;MDH1;CD44;HK2;PAM;STMN1;GFPT1;GCLC;PFKP;DLD;ALDH9A1;SOD1;TXN;G6PD;NSDHL;ME1;PLOD1;PDK3;PGM2;SDC2;SDHC,-4.044202552468994
HEDGEHOG_SIGNALING,0.10285714285714286,0.1978021978021978,0.19189224038483796,-0.5306187781912214,-1.4032496089553326,14,AMOT;NRP2;VLDLR;DPYSL2;L1CAM,-0.7037688872177875
