protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
Q9H0G5;A0A024QZ33;K7ERM9,NSRP1;CCDC55,Nuclear speckle splicing regulatory protein 1,-0.1367804103730066,17.933116043461766,18.069896453834772,-5.481310723411497,0.0049226932536897035,4.127219255657375,-0.20522953850291448,-0.0683312822430987,Welch Two Sample t-test,two.sided,0.01628065301611302
A0A024QZP7;P06493;A0A087WZZ9;E5RIU6,CDC2;CDK1,Cyclin-dependent kinase 1,-0.32315121946972525,20.732723634353096,21.05587485382282,-26.605864344922477,1.430258203795842e-6,4.990507145510674,-0.3543910293331843,-0.2919114096062662,Welch Two Sample t-test,two.sided,3.0103548940248507e-4
A0A024R4E5;Q00341;H0Y394;C9JIZ1;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;H7C2D1;C9JMQ6;H7BZC3;C9J739;H7C3D0;C9JHS9,HDLBP,Vigilin,0.2328026325768846,21.96235774739586,21.729555114818975,16.903894324284114,0.001566315010571655,2.376113472293214,0.1816861019374702,0.28391916321629895,Welch Two Sample t-test,two.sided,0.00754914943483865
A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8,TMEM120A;TMPIT,Transmembrane protein 120A,0.2841670379886523,10.595156317011126,10.310989279022474,1.0011660715683681,0.3633481815920594,4.927003028355128,-0.4487201812303443,1.0170542572076489,Welch Two Sample t-test,two.sided,0.4427862670265755
A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8,EHD1,EH domain-containing protein 1,0.08578154528945348,20.8391606244149,20.753379079125448,6.141621214791042,0.012071450633261928,2.6711993819003483,0.0380700695583119,0.13349302102059504,Welch Two Sample t-test,two.sided,0.030936789164675148
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002,ELOF1,Transcription elongation factor 1 homolog,-0.08467944670287153,17.143459045633072,17.228138492335944,-1.2362772318818016,0.2713049223911716,4.995700544186311,-0.2607983633149581,0.09143946990921505,Welch Two Sample t-test,two.sided,0.3465998375120113
A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739,YTHDF3,YTH domain-containing family protein 3,0.05850622741912659,18.90850419242102,18.849997965001894,2.0667196060287325,0.10811783627057234,3.9721830455137876,-0.02030898361518055,0.13732143845343375,Welch Two Sample t-test,two.sided,0.16277271859292644
A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36,PSMA2,Proteasome subunit alpha type;Proteasome subunit alpha type-2,-0.32049659034238687,18.463446033223143,18.78394262356553,-8.42727405612996,3.867603471718092e-4,4.997742763826323,-0.4182713440033147,-0.22272183668145903,Welch Two Sample t-test,two.sided,0.003305184770320368
A0A024RAC6;Q14241,TCEB3,Transcription elongation factor B polypeptide 3,0.003776149854147093,19.899479127198063,19.895702977343916,0.11518727707048478,0.9142707291310259,3.701937682557483,-0.09020755133511985,0.09775985104341404,Welch Two Sample t-test,two.sided,0.934514989779179
E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1,SLC22A18,Solute carrier family 22 member 18,-0.33043559242160647,13.576783006022806,13.907218598444413,-2.6903379274431125,0.08271864720919751,2.7191475696316845,-0.7451759933844053,0.08430480854119245,Welch Two Sample t-test,two.sided,0.13215226235834504
