ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000000003	TSPAN6	389.53770132842	429.535000040301	484.126906713024	456.38903210625	382.067584405985	426.778516280631	386.106389141643
ENSG00000000419	DPM1	2208.82455534287	2364.54851595665	2452.07736765735	2450.74537590789	3211.57462001376	3370.32415782964	3453.37738999906
ENSG00000000457	SCYL3	632.909739209278	660.298240153038	563.572071308451	684.996990276649	619.303218841606	685.583560160555	630.571660824997
ENSG00000000460	C1orf112	704.321735909007	723.74440183001	613.220359213642	734.658323948931	939.578417231603	1094.86452797193	1114.83261141444
ENSG00000000938	FGR	1.32279639347809	0.704643474986289	1.32203666781989	0	1.68371453420434	0.994841735417286	0
ENSG00000000971	CFH	1.2239965896244	1.47517715211226	0	1.24442590521486	0	0	0
ENSG00000001036	FUCA2	1338.70499779926	1463.82792924372	1347.13087402523	1340.583337529	1548.68698779099	1652.29302401132	1601.39838760947
ENSG00000001084	GCLC	984.820086204427	1068.9434918929	897.936594087063	999.390014562348	1022.19755820359	1146.41011533871	1003.9028731408
ENSG00000001167	NFYA	1274.94856756146	1198.98883214397	1204.92536150404	1385.41781808941	1339.95700968573	1263.14338117924	1482.86103941628
ENSG00000001460	STPG1	453.831172263004	429.894673019789	448.873917829827	400.415934092705	440.511467901492	461.806716784239	481.00638382374
ENSG00000001461	NIPAL3	7771.13328762043	7465.57059078954	7443.31236745903	7591.63492955438	6762.14166522563	6736.21875469086	6622.31017858141
ENSG00000001497	LAS1L	2202.56243174529	2155.62107704593	2279.28826164654	2372.08710120047	2552.57760552598	2438.97056968602	2499.78498650735
ENSG00000001561	ENPP4	0	0	0	0	0	0	0.787149082673498
ENSG00000001617	SEMA3F	183.104376270732	202.532199744311	169.583339061193	155.810840921155	150.110555276688	138.362808406071	103.642350840989
ENSG00000001626	CFTR	3.61290832858674	5.10224097555899	4.84342916778098	1.23911655304856	2.82599627601078	6.96906055084139	8.90558437997697
ENSG00000001629	ANKIB1	3718.75287424439	3350.90866834808	3477.2647876458	3486.39621744011	3412.12349828948	3343.88870324873	3491.51598666967
ENSG00000001630	CYP51A1	2129.76864053569	2192.06485236641	2223.65932196934	2318.96692321198	2546.45754538859	2571.43167224973	2658.33880513312
ENSG00000001631	KRIT1	982.109530023495	947.11464477384	1039.30482842377	1202.69565733146	1112.84419106177	1020.56197309884	939.132765618895
ENSG00000002016	RAD52	394.022503530545	297.16937361691	382.234065166375	315.423354627497	368.836511747715	359.957323798801	377.959171753159
ENSG00000002330	BAD	668.074967398148	682.748398168099	685.685175423353	662.526025738514	547.718537520252	609.166383335593	583.507888065556
ENSG00000002549	LAP3	2917.5984061685	2946.10556647833	2937.26596067403	2829.70708330548	3202.00344766732	3293.71810011148	3243.90139663158
ENSG00000002586	CD99	4522.89263579171	4798.34497583889	5053.27533431193	4875.02723086527	4303.1512470333	4035.34900785242	4084.67876262674
ENSG00000002587	HS3ST1	61.1026047539379	46.3674986005387	33.2634104810688	43.2228342622148	60.1155826388515	42.1858893085854	40.4439244092292
ENSG00000002726	AOC1	0	0	0	4.0035604315199	0	0.933415899162042	2.27899062460728
ENSG00000002745	WNT16	19.6667905345773	25.2719229456352	17.4514519319051	4.73307049887112	22.826468532988	16.3960816048272	16.2106105199034
ENSG00000002746	HECW1	171.891246400658	160.265315024462	146.740754706094	166.354003537733	163.479956038153	143.532503050461	139.265477617387
ENSG00000002822	MAD1L1	1569.81696497361	1531.28455385137	1674.44561900888	1494.78269758838	1653.12716781494	1448.45741614873	1531.22031974539
ENSG00000002834	LASP1	5097.49986077884	5258.01618139969	5784.86950958474	5603.9622355114	6156.47295343523	5921.36752015057	6498.90992163235
ENSG00000002919	SNX11	470.893906399247	494.460649904411	511.800887449373	559.791933473276	638.611886952901	614.874155377384	672.689340441189
ENSG00000003056	M6PR	6154.89886425178	6243.44990465523	6617.27261154048	6548.22666114012	6863.2640752693	7276.45893434372	7369.70929796789
ENSG00000003096	KLHL13	271.961322977147	299.368215714478	321.057339280323	317.911041973408	391.733443161393	459.728568956314	401.00449392618
ENSG00000003137	CYP26B1	131.505002204279	30.8411266283936	83.3958661727767	96.3963275530347	42.5028799077038	37.0840651513248	62.6870639323586
ENSG00000003147	ICA1	349.674490810388	321.562229519944	230.995415192035	275.566731540761	197.692428931746	271.009770380724	169.564799712992
ENSG00000003249	DBNDD1	1485.67940546816	1599.23941968967	1540.02575698903	1525.77344066944	1495.85403585138	1476.75037561106	1323.7268012451
ENSG00000003393	ALS2	666.43571855748	625.608426208079	739.07154334783	651.417190363669	620.171450451112	593.121613644038	750.85302089983
ENSG00000003400	CASP10	152.525306158241	152.542394194642	131.361953662808	159.062094812949	156.827569781922	176.649194225195	129.003657374355
ENSG00000003402	CFLAR	839.231038714196	1003.22862661013	796.231370045145	1020.20080624553	718.986550230292	692.182249901004	683.182390569145
ENSG00000003436	TFPI	31.4975400536685	45.6348958542165	60.4672075771795	49.7801329954411	62.0618503453167	52.8036460272916	40.6924906987671
ENSG00000003509	NDUFAF7	871.301108602129	848.380130409593	816.193635382709	816.577425310526	835.494730325279	910.863403183296	918.841538675497
ENSG00000003756	RBM5	1606.97725246727	1540.18915826312	1609.4690728321	1603.01760519785	1530.77450828185	1595.36076931176	1544.82043946027
ENSG00000003987	MTMR7	41.4274796160316	50.2001060281463	39.7076054283831	37.1905296437785	24.6560188311595	38.7281893636957	42.2587945064997
ENSG00000003989	SLC7A2	868.424058235201	842.885709685664	805.785313337432	825.427717698615	902.877775907441	933.326716587333	955.187263931519
ENSG00000004059	ARF5	2586.90033920765	2773.92582330491	2905.94143846219	2833.36757325929	2748.3531083617	2938.98567223974	2700.56167950699
ENSG00000004139	SARM1	587.760129037359	498.819238399357	437.28148757299	604.801168069711	707.320738477709	513.627740539967	586.453622856903
ENSG00000004142	POLDIP2	5326.18202709882	5386.43182598199	5747.16455520074	5329.35808044397	5714.13926428354	5892.30351061641	5863.57793853316
ENSG00000004399	PLXND1	2090.79787961062	1965.19027038845	1941.13584007761	2411.61583734516	2009.7341920655	2279.47210147041	1527.37371834826
ENSG00000004455	AK2	5458.71621646124	5624.73258929151	5834.08045702311	6002.40512495137	7561.76545868591	7878.19063563949	7612.63532482889
ENSG00000004468	CD38	4.7773950193046	32.7461717829711	4.81722446265365	7.86749442999619	2.23526128292692	1.56309729206238	3.82318980765474
ENSG00000004478	FKBP4	5720.64812937557	5645.91412388952	6131.33827942952	5823.34866350479	5984.82185283994	6030.56376115672	6308.42903289033
ENSG00000004487	KDM1A	5627.23723115762	5854.50753886442	6069.18444920141	5570.98170421642	4511.44747498357	4474.37705141685	4548.85064709344
ENSG00000004534	RBM6	2302.43315921906	2306.45499516425	2077.68817208101	2400.7514260847	2087.70797824846	2125.80808105565	2097.51631793283
ENSG00000004660	CAMKK1	55.2241007842696	76.4086088038577	97.1049029705931	91.6442676221212	94.8754141305631	78.88035168065	89.109627271129
ENSG00000004700	RECQL	3780.17176542292	3807.19816051367	3821.29205295546	3771.74267288266	4750.50229510981	4947.16953525157	5022.78912745331
ENSG00000004766	VPS50	274.486926421779	209.989273673802	297.718415781964	220.541252012031	284.534286364166	394.438257208125	389.58919730951
ENSG00000004776	HSPB6	61.9068329192457	59.593903285209	66.999967436333	43.5113285248534	63.0629702759143	43.4790180659393	34.2846345348917
ENSG00000004777	ARHGAP33	359.291323194293	350.956670389282	300.870843057161	353.020931384121	305.068897389697	260.966091413841	272.442794450717
ENSG00000004779	NDUFAB1	2319.65293951171	2264.86252014716	2465.92987700088	2350.19890479787	2362.6427143014	2471.50539631639	2692.20435250202
ENSG00000004799	PDK4	6581.12087617348	6655.76311416043	5566.0874910577	5630.24105959501	7128.114832597	7696.32459028075	6274.91509836412
ENSG00000004809	SLC22A16	0	2.08391370806409	2.30220376785376	2.32291563037049	0.886389464156962	0	4.03369197873024
ENSG00000004838	ZMYND10	28.9467465976119	36.5616709455234	37.7313807940205	33.2153277404534	69.9581421581148	53.8055126145198	80.2078311414746
ENSG00000004846	ABCB5	22.5458221001282	34.9541727874064	32.3406650834805	16.9712859921025	54.7134292423466	37.6160699639686	40.4114271231195
ENSG00000004848	ARX	6.32106555729311	8.37489750396751	19.2547433913155	7.14312015654676	10.9979966173423	6.97783232704456	3.72070203895493
ENSG00000004864	SLC25A13	1585.50611510186	1657.05297150928	1663.43396399117	1656.16181907109	1963.87385060439	2064.68599351726	2156.56313886144
ENSG00000004866	ST7	611.821205226919	627.548826066017	616.751202066216	656.830850299568	644.077706288833	643.12734905306	695.646023725658
ENSG00000004897	CDC27	3869.4977199656	3704.0884591129	3659.6005074467	3866.71301176108	4172.86639250727	4573.0266075543	5335.32880897381
ENSG00000004939	SLC4A1	2.49411673152123	3.70664455897171	3.73521067688665	0	0.938786304055581	0.955080742995472	0
ENSG00000004948	CALCR	0.979475460005944	0	1.96836243191018	0	1.48158957354851	0	0
ENSG00000004961	HCCS	1218.756885528	1236.45410119933	1490.13365856582	1290.5198381206	1462.53050957869	1587.80630052819	1592.33574508001
ENSG00000004975	DVL2	2484.02067598518	2546.53218091173	2591.48158701638	2542.29001049031	2926.96866251531	2566.51107713222	2988.88951062942
ENSG00000005001	PRSS22	0	0	0	0	0	0.97660740031135	0
ENSG00000005007	UPF1	7706.83164997862	7601.04055314775	8099.78549223097	8531.7696715956	8731.84046091342	7374.31287797034	8355.46671646941
ENSG00000005020	SKAP2	2153.15515216309	2096.21650402274	1913.52177548866	2029.35496704221	2193.26354431952	2188.55277548981	2037.36767337196
ENSG00000005022	SLC25A5	17620.494515592	18715.7899709833	19513.3005182813	19505.5952805838	20311.7485286382	21341.5831026813	21261.526881818
ENSG00000005059	MCUB	476.645174556831	481.598406495257	516.667550166663	501.574398237135	563.825845642766	617.16100380053	556.883242901481
ENSG00000005073	HOXA11	151.451942696776	160.109955895604	121.889582953266	151.328220068561	158.146358238553	126.72033529748	134.691694660254
ENSG00000005075	POLR2J	1761.18866727609	1747.88654250736	1872.32264105995	1702.03977888431	1872.2772807209	1861.31878671853	1838.04867366301
ENSG00000005100	DHX33	2503.34015355652	2549.24284354376	2445.48766872905	2557.33893923106	2753.14568672284	2625.9767002519	2753.78249637034
ENSG00000005102	MEOX1	4.20122310510699	6.26967607371971	2.11321414735703	1.66653653584149	3.20235368460613	1.92576647992482	2.09763117875765
ENSG00000005108	THSD7A	7.26561531750215	10.9712326520702	8.51916677483864	9.89738355251504	14.0999734507934	8.93662334745905	8.03391458567765
ENSG00000005156	LIG3	2171.10361638333	2056.77838577136	2102.32393708699	2175.09539854034	2189.40973454877	2526.82933995266	2373.82700085685
ENSG00000005175	RPAP3	1516.48195830331	1576.54443010311	1475.90769761249	1521.68069068893	1707.88542788476	1615.23986678326	1713.55117045274
ENSG00000005187	ACSM3	31.5935174632068	23.5639125842774	22.0880665610264	27.3697950835883	22.2383758094259	28.8412663452949	9.94552138882932
ENSG00000005189	REXO5	348.607066488932	260.348160924632	324.925500943777	347.189303828503	379.774878434291	325.912825305442	438.112567146163
ENSG00000005194	CIAPIN1	2025.13205345882	2011.69028995826	2266.28364085646	2070.1170064077	2402.70773709912	2553.96463520115	2598.93575183263
ENSG00000005206	SPPL2B	2078.26361002681	2310.02993377412	1974.5368834425	1905.74051229047	1999.24971130958	1686.12706721794	1530.73126660174
ENSG00000005238	FAM214B	885.322925097435	892.709483175253	946.544008940958	932.492921546207	767.717173761819	679.700991349158	690.650870200616
ENSG00000005243	COPZ2	445.86130263432	432.051424189873	957.153044942855	397.187671331203	503.315817998515	565.012984348812	487.221011958768
ENSG00000005249	PRKAR2B	1787.77105208366	1876.08853044475	1920.16120097838	2024.60748641918	1657.24859530333	1538.13106101413	1800.29718781783
ENSG00000005302	MSL3	1132.34063034308	1176.30261403184	1181.92962356315	1226.06889081486	1206.7541092774	1131.35455799231	1174.59922929654
ENSG00000005339	CREBBP	3029.99366520445	2668.3816788509	2571.37851881405	2835.89790473647	3110.68252503921	2867.52402617328	3291.97175613793
ENSG00000005421	PON1	0	0	0	1.21417035161138	0	0	0.798035069752506
ENSG00000005436	GCFC2	706.400033716434	719.465279489179	595.567931478417	661.243996599401	658.446206939104	782.621645835322	657.773741233234
ENSG00000005448	WDR54	1322.16835354965	1354.1612978178	1488.58842197386	1358.55112548205	1633.61214846574	1562.74045987789	1430.62597876307
ENSG00000005469	CROT	327.680032810416	387.425132612804	353.575773882656	273.587869841753	355.724488120433	308.731181299543	317.0875746808
ENSG00000005471	ABCB4	1208.35875136767	1232.69463133218	961.301832067483	1088.46369467221	1160.8309446399	1072.78112933576	793.036135828246
ENSG00000005483	KMT2E	2008.34339456677	1845.49037605681	1557.59880900118	2059.02698988264	1668.14852636265	1718.02952183473	1978.82824230996
ENSG00000005486	RHBDD2	2156.5481645822	1969.49298187088	2063.4166158171	1798.00559139722	1547.74455178009	1945.996079486	1708.43150611628
ENSG00000005513	SOX8	2219.30970778345	2234.96874912168	2249.01503398947	2132.04001168516	1267.76687020177	1186.99304741922	1132.0699308947
ENSG00000005700	IBTK	3345.94442008291	3308.55505525344	3266.73034096274	3560.20311698665	3136.108889396	3359.79288602452	3405.16768368956
ENSG00000005801	ZNF195	236.225581494542	300.610761780403	345.399813211561	281.366492619246	328.371896671483	350.037118833627	278.925565952911
ENSG00000005810	MYCBP2	1608.37044304717	1481.46923916427	1552.98496435152	1512.02733616371	1437.67251216692	1548.98643616183	1571.47331163692
ENSG00000005812	FBXL3	1221.9108508314	1230.27185993361	1237.74896441955	1169.61226504982	1482.53202568296	1546.30857967019	1712.18799404205
ENSG00000005844	ITGAL	1.23349383048612	0	0	0	0	0	0
ENSG00000005882	PDK2	990.755369033893	1016.62732572839	971.797513216054	931.290018983744	761.147921752465	778.638332958178	677.522025531973
ENSG00000005884	ITGA3	9443.55495440731	9292.79308322422	8787.02376273457	8738.54259061896	6197.7171626574	5943.88618968818	5469.78065290423
ENSG00000005889	ZFX	1305.5630268973	1294.08438867086	1147.78142073178	1456.97350155394	1302.29861210735	1460.81708522753	1400.5247122481
ENSG00000005893	LAMP2	6891.65723679097	6925.20786646165	6714.41203649137	6961.93334828554	6054.34066009673	6641.05448820554	6138.00208351576
ENSG00000005961	ITGA2B	0	10.7650126967916	5.90849747351728	16.1250994675749	6.15891932659853	7.14714873988113	12.670397848648
ENSG00000005981	ASB4	12.0730759231612	9.49598920506714	6.04838231575763	11.1364571520469	14.1442942873387	20.8839116627078	12.1176978212744
ENSG00000006007	GDE1	1185.1785512308	1171.42065603307	1165.28557606179	1156.01441906919	1217.31197881403	1206.17827841856	1012.27176865584
ENSG00000006015	REX1BD	836.854885381432	847.155484114478	914.796895519062	775.3800792972	879.913906025215	760.925650134701	799.544664740143
ENSG00000006016	CRLF1	178.218111602745	266.78442802475	204.324767432677	194.359382017805	159.979867049169	120.381492490154	106.740507916277
ENSG00000006025	OSBPL7	780.44124260589	759.370077020863	639.273783427109	636.995644404224	560.787871486959	492.229719213004	495.930800496406
ENSG00000006042	TMEM98	2957.14810330701	3194.27507060014	3126.55566313826	2849.53544540514	2363.42513824138	2299.63651094692	2313.38659920743
ENSG00000006047	YBX2	5.09605471955666	6.81415504107904	3.80991006371385	4.83583722160108	5.61088452444098	2.88418337218869	1.50210245906724
ENSG00000006062	MAP3K14	528.374994750425	484.103307754158	440.084918243188	468.409061168012	386.816465824414	343.917508808208	341.672658238537
ENSG00000006071	ABCC8	0	0	1.40637829782693	1.08093065019146	0	0	0
ENSG00000006118	TMEM132A	1422.47642009543	1429.682802084	1397.37450230474	1287.56307604873	1310.21989576333	1011.07007947041	1186.83250967866
ENSG00000006125	AP2B1	8677.16628498684	8107.35818961788	9292.52559591913	8794.35957324298	7754.48872934634	7736.3478619636	7931.69563003431
ENSG00000006128	TAC1	208.414098694386	250.219015846788	240.689772467868	247.354076146293	228.299334991253	228.273362300894	259.178213346887
ENSG00000006194	ZNF263	1021.54945350757	1057.71592706796	932.145326274171	949.067498701249	1060.38602694161	1043.23383440684	1174.30060219834
ENSG00000006210	CX3CL1	51.7969280454342	61.2262381834283	63.8368395473038	29.5221474053235	61.1915331096331	84.1263593570281	66.6993438931454
ENSG00000006282	SPATA20	975.8550750399	834.895328088864	933.366752022725	671.271551176586	766.736998862889	857.852435560696	798.959786092374
ENSG00000006283	CACNA1G	10.9393772484527	0	1.42755416540492	4.14313474131621	3.72264010161305	2.47451570105991	0.816328838509176
ENSG00000006327	TNFRSF12A	1846.2699714502	1877.46026423688	2217.55200556082	1839.71496697171	2225.22406486191	1714.90611171365	2672.9897342488
ENSG00000006377	DLX6	236.588430073397	171.656851413406	187.062134524234	195.354022298893	138.911138707476	146.582291222218	139.576531725514
ENSG00000006432	MAP3K9	489.027453973978	457.152293508685	492.066507443767	512.597028005304	455.420425043802	496.83731883101	452.399903785363
ENSG00000006451	RALA	1461.24188793231	1477.02818039541	1496.07145340191	1560.344255748	1764.95908684029	1757.16433570367	1872.89595535421
ENSG00000006453	BAIAP2L1	1348.98423803254	1411.72502616463	1451.48230058949	1517.40810012141	1173.22196997485	1115.72527494757	1114.51342246408
ENSG00000006459	KDM7A	1513.61639166882	1390.22010488841	1382.07452440397	1436.81662010375	1047.22031179896	1139.08715408513	1015.79135268621
ENSG00000006468	ETV1	4040.16946762001	4071.13961517226	3452.19060521464	3642.3385998682	3376.29128278509	3544.47387844074	3341.367797844
ENSG00000006530	AGK	1770.83398694846	1981.63316925951	1951.83582481179	1879.98704852593	1837.41971475537	1957.802279976	2151.98903680122
