ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000000003	TSPAN6	346	578	364	347	413	448	498
ENSG00000000419	DPM1	1878	3267	2082	2002	3386	3253	4165
ENSG00000000457	SCYL3	544	931	511	514	669	655	741
ENSG00000000460	C1orf112	578	951	529	580	1055	1038	1426
ENSG00000000938	FGR	1	1	1	0	2	1	0
ENSG00000000971	CFH	1	2	0	1	0	0	0
ENSG00000001036	FUCA2	1108	1964	1114	1090	1636	1669	2010
ENSG00000001084	GCLC	854	1506	773	828	1044	1060	1220
ENSG00000001167	NFYA	1006	1698	1023	1069	1420	1331	1814
ENSG00000001460	STPG1	377	596	355	325	476	465	598
ENSG00000001461	NIPAL3	6404	10181	5978	6037	7315	6848	8390
ENSG00000001497	LAS1L	1770	2892	1840	1903	2730	2561	3188
ENSG00000001561	ENPP4	0	0	0	0	0	0	1
ENSG00000001617	SEMA3F	158	258	129	128	167	135	139
ENSG00000001626	CFTR	3	7	4	1	3	7	11
ENSG00000001629	ANKIB1	3058	4597	2781	2855	3662	3354	4390
ENSG00000001630	CYP51A1	1778	3037	1855	1869	2706	2532	3267
ENSG00000001631	KRIT1	846	1284	867	1001	1160	993	1142
ENSG00000002016	RAD52	294	398	311	269	382	370	512
ENSG00000002330	BAD	530	894	558	535	610	616	759
ENSG00000002549	LAP3	2378	4011	2380	2287	3404	3370	4104
ENSG00000002586	CD99	3661	6440	4096	3966	4533	4194	5208
ENSG00000002587	HS3ST1	50	63	27	35	64	43	51
ENSG00000002726	AOC1	0	0	0	3	0	1	3
ENSG00000002745	WNT16	17	36	15	4	19	17	21
ENSG00000002746	HECW1	143	230	112	123	174	154	181
ENSG00000002822	MAD1L1	1253	2013	1239	1248	1773	1533	2081
ENSG00000002834	LASP1	4061	7040	4642	4534	6568	6215	8381
ENSG00000002919	SNX11	415	672	418	438	635	654	831
ENSG00000003056	M6PR	4974	8467	5431	5193	7419	7450	9335
ENSG00000003096	KLHL13	232	420	267	265	420	404	513
ENSG00000003137	CYP26B1	58	68	68	70	55	39	80
ENSG00000003147	ICA1	287	442	176	197	237	261	239
ENSG00000003249	DBNDD1	1179	2134	1218	1244	1590	1555	1732
ENSG00000003393	ALS2	519	895	635	522	657	597	918
ENSG00000003400	CASP10	120	217	113	123	182	157	168
ENSG00000003402	CFLAR	773	1215	685	733	804	719	853
ENSG00000003436	TFPI	28	68	37	50	63	50	52
ENSG00000003509	NDUFAF7	727	1163	678	667	864	906	1151
ENSG00000003756	RBM5	1279	2081	1284	1273	1664	1654	2012
ENSG00000003987	MTMR7	35	71	32	30	27	37	52
ENSG00000003989	SLC7A2	722	1174	690	670	967	904	1144
ENSG00000004059	ARF5	2081	3696	2352	2322	2931	3036	3448
ENSG00000004139	SARM1	491	739	384	543	606	483	746
ENSG00000004142	POLDIP2	4259	7188	4576	4378	6184	6076	7528
