ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000000003	TSPAN6	1859.46034419618	1838.42996504548	1720.14591282357	1739.9160894012	1634.80300847667	1746.71036660947	1801.39050672955
ENSG00000000419	DPM1	1449.1057515552	1541.1845291947	1257.5962865128	1442.27879572431	1439.5509375672	1422.34012897496	1496.51895373154
ENSG00000000457	SCYL3	418.253343371411	413.73072425227	462.953879938325	461.865902582185	424.962529861725	421.341492219251	453.557026401966
ENSG00000000460	C1orf112	721.457238921339	688.027793415734	766.944044699542	771.107783468777	810.704257273536	754.137146014367	751.177721542934
ENSG00000000971	CFH	5942.58072371907	5930.97536977483	5755.68015457958	5271.14062798714	5679.8030262555	5485.02990301315	5233.74549510945
ENSG00000001036	FUCA2	3540.17862261263	3497.85547844474	3363.53147298348	3493.23015397	3643.83872629733	3652.64468614248	3716.37529918594
ENSG00000001084	GCLC	8912.23808530866	8902.60892163477	9480.60750479037	8684.13596234907	10044.1003364265	9805.85607688978	9999.85009802336
ENSG00000001167	NFYA	1337.89760074133	1259.16270792671	1214.83895463919	1182.87699226022	1249.50089285897	1190.27012004894	1231.95103152041
ENSG00000001460	STPG1	280.35775868606	262.545222187998	232.547028385239	276.066721776355	300.720180063242	285.677517059052	303.931337049301
ENSG00000001461	NIPAL3	1142.15624579707	1132.69266183799	1112.47975031783	918.590298688437	1110.32278177963	1026.83778421372	964.428610546384
ENSG00000001497	LAS1L	3378.35747338694	3392.30721198296	3195.76847903455	3407.41159699363	3205.79188012296	3365.12654991381	3305.38392928639
ENSG00000001561	ENPP4	42.5310853097283	52.5192787427348	27.6690757752734	34.0830787009443	31.8247837072589	30.7852308442198	46.7682343765841
ENSG00000001617	SEMA3F	197.45143459459	203.865604027565	213.616109451184	215.078500328276	202.672900943094	198.96616541947	230.030541781082
ENSG00000001626	CFTR	2.94292660992088	9.79778447897605	8.98266534415188	21.2897527589543	10.4716255396646	7.74844626869774	7.79056186129244
ENSG00000001629	ANKIB1	2909.92767623397	2778.59167536326	3088.79588053225	2605.16325985573	2834.94501991435	2821.79076257707	3011.51023701931
ENSG00000001630	CYP51A1	3610.16888307891	3517.03740609732	3631.85601732697	3507.32995220429	3770.15681207248	3638.77932337291	3778.02528976476
ENSG00000001631	KRIT1	804.147832361341	609.570971145507	662.948507663101	625.935073133796	835.632643462573	736.647330768647	780.950533850241
ENSG00000002016	RAD52	478.90152306107	523.273848864002	501.48577205624	462.35431801227	478.259138532049	526.129534538844	466.730451057938
ENSG00000002330	BAD	1217.15775321035	1316.84830486089	1311.93159752557	1396.36270920653	1255.90675938901	1253.23832742517	1146.91412978944
ENSG00000002549	LAP3	1665.34815273164	1761.68495997516	1646.76243105245	1615.4922227799	1738.90914683769	1673.7940625888	1694.19938629511
ENSG00000002586	CD99	6282.68161733297	6452.90152373346	6342.98532046122	6665.41337548399	6255.16019303806	6452.37189601383	5981.34064576381
ENSG00000002587	HS3ST1	204.752762633077	206.507270603572	181.455834378802	177.344295947189	161.743414676985	186.593036936775	210.377971948411
ENSG00000002726	AOC1	0	0.663535096811317	0.890398136447313	3.10912674026035	0	0	0
ENSG00000002745	WNT16	4.52056152365144	3.41174576755372	0.726670857718688	1.0270054026229	0.938510655835333	0.895073886837375	2.48218204080711
ENSG00000002746	HECW1	353.734780467368	425.778180032996	384.670737549859	352.929691931441	461.506755296755	370.015925780254	378.902099348326
ENSG00000002822	MAD1L1	771.915729470539	805.483178616695	750.108362496784	892.245648149944	825.170840101027	827.52316167763	679.420125401944
ENSG00000002834	LASP1	25539.110777917	25918.7676366397	25929.3930116541	26120.2272523383	26546.9232056395	26126.1724954075	25906.4570304755
ENSG00000002919	SNX11	824.020534691753	1016.78863332795	840.256000135254	881.597661303517	990.088817122747	916.957092708732	963.705839205474
ENSG00000002933	TMEM176A	1.83188571262685	0	0	2.03094825555845	2.8337366532022	1.21805824566399	2.34509373730022
ENSG00000003056	M6PR	6460.6427164242	6562.37503194992	6440.21817344424	6324.26978356444	6642.14777044578	6664.25941309043	6796.00862753064
ENSG00000003096	KLHL13	48.6027621065298	42.8304019212031	57.4869656310582	56.2579489349841	43.0184767135963	50.7250580249934	54.5881223171617
ENSG00000003137	CYP26B1	1409.57057161886	1783.61158299084	1592.55794740936	1265.31125451787	1510.82219296256	1700.16254116902	1519.52679919032
ENSG00000003147	ICA1	108.962973243576	134.215761541187	143.453020580869	114.577262473659	144.240377277968	82.6486968270446	121.861506358657
ENSG00000003249	DBNDD1	1706.51259529583	1642.22231886325	1492.99501490156	1789.90889384058	1595.50310116246	1605.43098951589	1551.11436395944
ENSG00000003393	ALS2	761.820239949792	729.279046739291	808.782034454698	800.200702942795	902.592977547224	651.929154488831	841.711554915737
ENSG00000003400	CASP10	365.208420667419	344.943936397872	344.168221661743	322.956695396316	294.695161585613	358.328966825745	376.920492332678
ENSG00000003402	CFLAR	2637.67182367829	2491.36087908751	2381.9154175598	2328.47447234471	2480.97137676906	2510.11568921696	2435.80589346324
ENSG00000003436	TFPI	1887.26084333917	2026.5426355299	1960.9837176309	1994.05444270304	1961.29863591908	2040.68694437144	2101.88835796727
ENSG00000003509	NDUFAF7	542.953952238279	580.129643536624	559.580658823164	590.384094003513	554.826125106655	579.848909583213	534.996145589663
ENSG00000003756	RBM5	1381.95784624656	1591.76996585429	1498.40510108713	1373.28320711117	1485.8792869947	1462.9702205913	1525.13373530706
ENSG00000003987	MTMR7	51.02270964929	72.868091497487	61.8598690582216	65.6051357019661	71.4389521667727	70.2125183314974	68.5390200262312
ENSG00000003989	SLC7A2	1353.97352099818	1485.80240120798	1545.59301309331	1362.30738367379	1253.33735513699	1330.39117611387	1516.11509272323
ENSG00000004059	ARF5	3133.89468485064	3027.90553705056	3016.03249236162	3338.71907957458	2912.58435093402	3131.85148069493	2926.09177163965
ENSG00000004139	SARM1	640.899131773599	574.368825976443	394.829519534572	453.06724216112	667.569238031152	482.765188387292	488.330324738437
ENSG00000004142	POLDIP2	7274.55791741749	7530.20284202149	7269.13183239754	7426.79852409573	7476.94416770358	7334.55624930848	7405.9345575728
