ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000000003	TSPAN6	2197	1884	2097	1550	1581	1740	1422
ENSG00000000419	DPM1	1669	1609	1587	1250	1358	1431	1199
ENSG00000000457	SCYL3	515	452	525	405	417	422	345
ENSG00000000460	C1orf112	891	724	840	668	733	833	610
ENSG00000000971	CFH	7071	6189	7043	4618	5283	5575	4159
ENSG00000001036	FUCA2	4217	3667	4096	3020	3483	3653	2957
ENSG00000001084	GCLC	10673	9445	11235	7587	9606	9743	8000
ENSG00000001167	NFYA	1541	1302	1491	1059	1152	1219	997
ENSG00000001460	STPG1	348	287	290	246	268	267	242
ENSG00000001461	NIPAL3	1324	1113	1366	838	1022	1058	797
ENSG00000001497	LAS1L	3968	3427	3930	3001	3111	3399	2624
ENSG00000001561	ENPP4	50	55	34	30	30	31	37
ENSG00000001617	SEMA3F	246	220	272	188	178	199	175
ENSG00000001626	CFTR	1	11	13	25	13	15	5
ENSG00000001629	ANKIB1	3484	2923	3757	2262	2716	2816	2368
ENSG00000001630	CYP51A1	4272	3690	4423	3071	3584	3640	3001
ENSG00000001631	KRIT1	965	632	819	539	773	747	629
ENSG00000002016	RAD52	569	535	598	410	497	511	360
ENSG00000002330	BAD	1445	1376	1595	1204	1168	1259	944
ENSG00000002549	LAP3	1987	1849	1988	1401	1664	1662	1360
ENSG00000002586	CD99	7471	6671	7832	5736	5993	6446	4784
ENSG00000002587	HS3ST1	221	205	241	143	174	200	159
ENSG00000002726	AOC1	0	1	2	1	0	0	0
ENSG00000002745	WNT16	6	4	1	1	1	1	1
ENSG00000002746	HECW1	435	444	448	307	432	378	305
ENSG00000002822	MAD1L1	938	851	911	739	775	819	566
ENSG00000002834	LASP1	30926	27014	31258	22666	25446	25910	20642
ENSG00000002919	SNX11	1065	1028	1051	786	934	877	733
ENSG00000002933	TMEM176A	1	0	0	2	2	3	2
ENSG00000003056	M6PR	7686	6954	7633	5523	6247	6710	5500
ENSG00000003096	KLHL13	59	45	67	49	41	51	44
ENSG00000003137	CYP26B1	1805	1665	1929	1177	1505	1594	1208
ENSG00000003147	ICA1	150	139	159	110	126	76	100
ENSG00000003249	DBNDD1	2058	1681	1842	1543	1540	1586	1239
ENSG00000003393	ALS2	921	844	992	628	920	538	743
ENSG00000003400	CASP10	444	375	408	285	290	352	282
ENSG00000003402	CFLAR	3145	2685	2946	2003	2337	2399	1979
ENSG00000003436	TFPI	2223	1915	2432	1818	1916	2039	1711
ENSG00000003509	NDUFAF7	649	604	680	515	532	573	428
ENSG00000003756	RBM5	1666	1538	1801	1227	1442	1509	1218
ENSG00000003987	MTMR7	60	80	74	59	65	68	56
ENSG00000003989	SLC7A2	1632	1518	1862	1211	1210	1318	1202
ENSG00000004059	ARF5	3682	3137	3803	2857	2795	3130	2323
ENSG00000004139	SARM1	671	522	562	460	512	487	459
ENSG00000004142	POLDIP2	8677	7840	8840	6423	7228	7319	5878
ENSG00000004399	PLXND1	5467	4723	5429	3733	4430	4383	3896
ENSG00000004455	AK2	4325	3983	4378	3042	3527	3603	3004
ENSG00000004468	CD38	1018	872	964	730	804	771	654
ENSG00000004478	FKBP4	11671	10512	11536	8461	9258	9742	7537
ENSG00000004487	KDM1A	3879	3459	4068	3219	3212	3228	2589
ENSG00000004534	RBM6	1806	1590	1685	1151	1418	1361	1171
ENSG00000004660	CAMKK1	1334	1145	1321	842	1031	998	803
ENSG00000004700	RECQL	3868	3546	4041	2825	3203	3312	2781
ENSG00000004766	VPS50	341	418	353	323	338	317	263
ENSG00000004776	HSPB6	28	14	21	19	12	27	18
ENSG00000004777	ARHGAP33	832	758	927	567	647	626	505
ENSG00000004779	NDUFAB1	2421	2061	2213	1737	1857	2081	1606
ENSG00000004799	PDK4	4740	4194	4531	3212	3585	3975	3308
ENSG00000004838	ZMYND10	23	23	29	28	29	6	15
ENSG00000004846	ABCB5	19	23	20	10	16	14	15
ENSG00000004848	ARX	298	225	292	207	229	253	170
ENSG00000004864	SLC25A13	2818	2393	2753	2058	2262	2499	1949
ENSG00000004866	ST7	962	844	952	705	822	826	643
ENSG00000004897	CDC27	6690	5759	6613	4559	5235	5683	4510
ENSG00000004939	SLC4A1	1	2	1	2	3	2	1
ENSG00000004948	CALCR	2	1	1	2	1	1	0
ENSG00000004961	HCCS	1961	1812	1999	1473	1636	1591	1371
ENSG00000004975	DVL2	2748	2358	2535	1862	2099	2145	1773
ENSG00000005001	PRSS22	9	3	6	0	15	9	7
ENSG00000005007	UPF1	4183	4036	4602	3293	3754	3651	2687
ENSG00000005020	SKAP2	2943	2496	2996	2050	2397	2439	1916
ENSG00000005022	SLC25A5	23789	20597	23328	17877	19318	20295	16178
ENSG00000005059	MCUB	757	701	787	539	582	637	512
ENSG00000005073	HOXA11	41	37	39	24	45	27	34
ENSG00000005075	POLR2J	2542	2243	1809	1882	1645	1880	1512
ENSG00000005100	DHX33	3396	2891	3492	2396	2760	2872	2313
ENSG00000005108	THSD7A	2779	2503	3147	1736	2241	2371	1968
ENSG00000005156	LIG3	2491	2208	2632	1813	2066	2172	1778
ENSG00000005175	RPAP3	2491	2295	2562	1877	2158	2289	1809
ENSG00000005187	ACSM3	781	616	721	529	593	603	517
ENSG00000005189	REXO5	167	159	181	142	164	124	127
ENSG00000005194	CIAPIN1	3058	2739	3187	2177	2410	2548	2110
ENSG00000005206	SPPL2B	1953	1643	1941	1346	1519	1471	1142
ENSG00000005238	FAM214B	744	702	859	576	555	607	491
ENSG00000005243	COPZ2	177	187	200	157	147	164	92
ENSG00000005249	PRKAR2B	236	210	248	189	198	204	153
ENSG00000005302	MSL3	1176	954	1231	832	941	997	772
ENSG00000005339	CREBBP	3579	2992	3523	2371	2819	2849	2394
ENSG00000005379	TSPOAP1	14	12	8	5	9	9	5
ENSG00000005421	PON1	67	68	79	33	56	49	37
ENSG00000005436	GCFC2	900	817	845	646	837	763	601
ENSG00000005448	WDR54	1884	1745	1888	1571	1465	1405	1210
ENSG00000005469	CROT	940	813	877	622	736	738	596
ENSG00000005471	ABCB4	10	24	14	12	22	8	14
ENSG00000005483	KMT2E	2014	1623	1585	1135	1535	1535	1458
ENSG00000005486	RHBDD2	4075	3343	3240	2930	2421	2469	2298
ENSG00000005513	SOX8	64	40	51	43	36	71	48
ENSG00000005700	IBTK	4127	3843	4531	2647	3378	3488	2871
ENSG00000005801	ZNF195	923	658	782	596	667	754	543
ENSG00000005810	MYCBP2	1631	1488	1737	910	1393	1371	1161
ENSG00000005812	FBXL3	1112	1042	1275	820	953	1028	791
ENSG00000005844	ITGAL	14	32	0	9	39	46	18
ENSG00000005882	PDK2	1125	954	1052	866	849	888	754
ENSG00000005884	ITGA3	16714	14326	17660	12328	13802	13199	10703
ENSG00000005889	ZFX	1987	1614	2010	1308	1521	1629	1281
ENSG00000005893	LAMP2	5771	5051	5869	4028	4652	5053	4125
ENSG00000005961	ITGA2B	93	78	85	66	63	58	35
ENSG00000005981	ASB4	221	214	245	153	214	206	185
ENSG00000006007	GDE1	4355	3735	4292	3381	3426	3563	2908
ENSG00000006015	REX1BD	736	675	776	575	592	614	460
ENSG00000006016	CRLF1	8	8	17	13	5	12	15
ENSG00000006025	OSBPL7	783	722	822	594	575	614	409
ENSG00000006042	TMEM98	675	565	638	508	526	518	410
ENSG00000006047	YBX2	61	44	50	53	36	52	25
ENSG00000006062	MAP3K14	1378	1181	1472	1016	1162	1145	892
ENSG00000006071	ABCC8	8	10	0	7	12	0	0
ENSG00000006118	TMEM132A	5413	4780	5474	3922	4020	3995	3172
ENSG00000006125	AP2B1	20904	17720	21723	14842	16551	16763	13451
ENSG00000006194	ZNF263	1618	1370	1591	1089	1284	1323	1003
ENSG00000006210	CX3CL1	74	50	71	42	48	47	39
ENSG00000006282	SPATA20	1820	1320	1582	1154	1306	1489	1019
ENSG00000006283	CACNA1G	1192	1149	1202	914	860	941	735
ENSG00000006327	TNFRSF12A	3455	2914	3039	2433	2775	2555	2246
ENSG00000006377	DLX6	1	3	0	1	0	2	0
ENSG00000006432	MAP3K9	1591	1595	1861	1083	1363	1323	1087
ENSG00000006451	RALA	1635	1508	1754	1286	1298	1410	1091
ENSG00000006453	BAIAP2L1	4720	4126	4809	3443	3768	3870	3182
ENSG00000006459	KDM7A	321	300	359	136	238	269	193
ENSG00000006468	ETV1	629	544	578	409	475	517	418
ENSG00000006530	AGK	1606	1216	1514	1169	1229	1317	996
ENSG00000006534	ALDH3B1	11461	9775	11654	8625	9207	9455	7113
ENSG00000006555	TTC22	0	0	0	0	1	1	1
ENSG00000006576	PHTF2	1210	1182	1379	960	1111	1120	935
ENSG00000006606	CCL26	26	23	43	23	33	37	22
ENSG00000006607	FARP2	1638	1404	1602	1015	1227	1327	1086
ENSG00000006611	USH1C	439	413	491	351	330	374	285
ENSG00000006625	GGCT	1434	1231	1445	1089	1248	1209	986
ENSG00000006634	DBF4	469	466	398	363	409	454	367
ENSG00000006638	TBXA2R	64	48	66	43	44	62	24
ENSG00000006652	IFRD1	985	851	1129	720	868	1062	769
ENSG00000006695	COX10	1125	1032	1034	837	920	949	709
ENSG00000006704	GTF2IRD1	1245	1097	1292	886	881	1092	788
ENSG00000006712	PAF1	5203	4503	5370	3967	4216	4415	3481
ENSG00000006715	VPS41	2188	2034	2548	1608	1843	1895	1562
ENSG00000006740	ARHGAP44	172	161	166	117	148	110	115
ENSG00000006744	ELAC2	6041	5050	5859	4270	4824	4919	3837
ENSG00000006747	SCIN	56	38	66	62	49	47	35
ENSG00000006756	ARSD	1807	1625	1880	1404	1469	1483	1211
ENSG00000006757	PNPLA4	493	393	418	313	332	362	291
ENSG00000006831	ADIPOR2	4665	3881	4520	3278	3641	3712	3120
ENSG00000006837	CDKL3	25	34	36	25	39	32	29
ENSG00000007001	UPP2	0	0	0	2	0	1	0
ENSG00000007047	MARK4	788	650	700	539	566	586	485
ENSG00000007062	PROM1	5	4	9	1	0	3	1
ENSG00000007080	CCDC124	3259	2834	2895	2463	2706	2751	2202
ENSG00000007129	CEACAM21	1	1	0	0	0	0	1
ENSG00000007168	PAFAH1B1	8677	7504	9199	5867	7287	7353	5954
ENSG00000007171	NOS2	7	0	0	0	0	4	8
ENSG00000007174	DNAH9	0	0	0	0	3	0	0
ENSG00000007202	KIAA0100	14324	12674	14591	9721	11548	11435	9395
ENSG00000007216	SLC13A2	16	11	17	18	7	9	16
ENSG00000007237	GAS7	26	28	19	18	27	26	24
ENSG00000007255	TRAPPC6A	1005	943	992	783	807	869	687
ENSG00000007264	MATK	2	0	2	4	2	3	3
ENSG00000007306	CEACAM7	10	16	16	19	12	16	10
ENSG00000007314	SCN4A	11	3	1	5	2	2	2
ENSG00000007341	ST7L	61	84	76	58	50	71	61
ENSG00000007372	PAX6	38	32	32	21	37	13	20
ENSG00000007376	RPUSD1	1538	1305	1677	1168	1315	1357	986
ENSG00000007384	RHBDF1	1170	1089	1154	908	907	861	745
ENSG00000007392	LUC7L	1684	1507	1764	1306	1421	1489	1162
ENSG00000007402	CACNA2D2	25	27	30	8	25	22	11
ENSG00000007516	BAIAP3	110	73	109	78	69	60	49
ENSG00000007520	TSR3	2140	2033	2325	1703	1820	1913	1439
ENSG00000007541	PIGQ	2135	1864	2156	1603	1493	1710	1421
ENSG00000007545	CRAMP1	1757	1489	1667	1098	1264	1297	1107
ENSG00000007866	TEAD3	491	390	487	330	362	381	291
ENSG00000007908	SELE	1	3	0	1	0	1	0
ENSG00000007923	DNAJC11	2580	2186	2779	1879	2277	2218	1791
ENSG00000007944	MYLIP	736	668	760	578	519	604	492
ENSG00000007952	NOX1	97	90	92	56	55	64	54
ENSG00000007968	E2F2	1088	936	1133	828	921	924	697
ENSG00000008018	PSMB1	4386	3952	4333	3205	3502	3796	3009
ENSG00000008056	SYN1	6	5	8	7	3	6	1
ENSG00000008083	JARID2	1229	1085	1273	888	1033	1052	837
ENSG00000008086	CDKL5	1049	987	1216	696	898	941	744
ENSG00000008118	CAMK1G	3	3	2	1	2	1	1
ENSG00000008128	CDK11A	1510	1343	1845	1019	1206	1156	955
ENSG00000008130	NADK	2461	2142	2629	1905	2019	2002	1621
ENSG00000008196	TFAP2B	0	0	0	0	0	0	1
ENSG00000008226	DLEC1	2	3	6	1	4	3	0
ENSG00000008256	CYTH3	1772	1624	1791	1232	1402	1483	1192
ENSG00000008277	ADAM22	128	106	124	66	95	100	66
ENSG00000008282	SYPL1	5095	4441	4997	3519	3890	4323	3529
ENSG00000008283	CYB561	2378	2124	2465	1667	1852	1986	1609
ENSG00000008294	SPAG9	6092	5291	6583	4127	5070	5074	4222
