ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000000003	TSPAN6	2116.931276	2026.00971	1958.715555	2119.760096	2067.078876	2026.071414
ENSG00000000419	DPM1	2087.135641	1361.242438	1473.747196	1434.85572	1466.814976	1981.6279
ENSG00000000457	SCYL3	284.7370825	293.2911988	303.3477793	287.6250793	289.0847256	250.9145774
ENSG00000000460	FIRRM	460.3636547	377.7380509	398.5734458	397.3172748	415.7740561	334.5815586
ENSG00000000938	FGR	0	4.250182877	1.408734524	3.580043222	2.048693229	2.197897194
ENSG00000000971	CFH	2016.362212	2047.06947	1946.300007	1750.284142	2105.431957	1902.54227
ENSG00000001036	FUCA2	1737.120152	1775.992318	1586.272552	1577.653705	1381.63296	1776.822583
ENSG00000001084	GCLC	833.3779601	873.1806256	801.4725092	914.2529154	838.3877244	868.532367
ENSG00000001167	NFYA	2279.753851	2428.99218	2326.504922	2525.782388	2762.962567	2307.54261
ENSG00000001460	STPG1	118.9472459	154.1109736	149.5278439	197.4471453	144.4831913	117.7204532
ENSG00000001461	NIPAL3	645.1111418	644.8980209	653.0543747	612.4218982	681.1911293	685.9298472
ENSG00000001497	LAS1L	850.7571245	1020.454476	1000.540305	928.4084572	992.2743892	821.249006
ENSG00000001561	ENPP4	753.0411779	790.4105978	779.6455088	774.1548602	696.3525572	586.6097614
ENSG00000001617	SEMA3F	2773.856694	2966.074318	3401.023089	3216.392073	3508.879216	3206.943415
ENSG00000001626	CFTR	0	0	0	1.680345561	0	0
ENSG00000001629	ANKIB1	3210.233511	2358.014981	2456.181632	2569.371248	2413.81303	2415.570007
ENSG00000001630	CYP51A1	3263.773766	3109.07092	3098.240964	3278.197944	3275.3148	3593.922223
ENSG00000001631	KRIT1	624.8417885	497.8771573	514.4835597	501.9993515	600.2923956	720.047844
ENSG00000002016	RAD52	405.1551108	344.5728017	345.5282294	349.3084345	399.9105562	352.9183955
ENSG00000002330	BAD	896.5799551	782.792162	903.0863342	827.5681598	779.1261408	824.9103439
ENSG00000002549	LAP3	3573.440072	3170.271435	3284.799595	3056.739457	3288.65491	3470.824796
ENSG00000002586	CD99	8499.705798	8014.910065	7549.35314	6948.7723	6793.503462	8229.544119
ENSG00000002587	HS3ST1	55.14284235	9.530247686	11.93176735	53.36504954	12.20270535	28.13409131
ENSG00000002746	HECW1	0.911850158	5.41321261	3.778606407	2.960538204	3.955980267	0.939646005
ENSG00000002822	MAD1L1	795.2194927	777.5983906	719.5387843	702.3356046	847.4712843	953.9357732
ENSG00000002834	LASP1	14977.50503	15896.12273	15775.60554	15599.07038	16414.62907	15663.53875
ENSG00000002919	SNX11	878.7138986	663.093717	593.7280206	603.8426836	567.6109307	841.440736
ENSG00000003056	M6PR	3880.748942	3060.687062	3102.724448	3045.795376	3149.065583	4147.699681
ENSG00000003096	KLHL13	825.4744317	871.2579417	779.9812463	853.6452681	849.7381191	1001.594531
ENSG00000003137	CYP26B1	119.0033149	129.0029157	167.9923792	193.2799093	152.2542594	78.10943562
ENSG00000003147	ICA1	1024.344804	727.7571598	778.6772889	766.4612235	760.2334574	1279.842337
ENSG00000003249	DBNDD1	820.346584	913.282703	1046.921101	961.0884072	1038.524574	883.8104387
ENSG00000003393	ALS2	1159.963499	1276.758193	1069.947851	1109.667253	1336.977706	1120.1144
ENSG00000003400	CASP10	1569.510454	1665.374379	1426.612727	1495.718043	1455.885897	1476.251514
ENSG00000003402	CFLAR	12290.7892	9954.740325	9722.924256	9284.879754	9501.677492	12377.35285
ENSG00000003436	TFPI	27008.99228	16848.26644	17909.12819	17246.9718	16822.57787	24980.72883
ENSG00000003509	NDUFAF7	367.9167543	207.5014159	162.6021609	148.4594571	195.1066125	505.5334157
ENSG00000003756	RBM5	6868.341379	4106.479272	4150.781803	3813.484623	4018.265007	7657.100051
ENSG00000003987	MTMR7	41.6808355	6.187543305	15.24692625	22.38062908	14.27769642	22.24843258
ENSG00000003989	SLC7A2	1422.078839	1452.171789	1562.244927	1927.589113	1898.248544	1858.040486
ENSG00000004059	ARF5	1632.904224	1622.961897	1533.812906	1601.065208	1499.063196	1656.744524
ENSG00000004139	SARM1	230.9857874	178.3342718	227.3274663	274.7028087	133.4758839	288.8939425
ENSG00000004142	POLDIP2	2216.339527	2254.57954	2234.687487	2224.695036	2100.090643	2625.383076
ENSG00000004399	PLXND1	35181.45864	28752.87306	28417.61321	27577.63275	27897.22028	36350.95058
ENSG00000004455	AK2	4037.755072	2981.807567	2984.120875	3148.2976	3056.329121	4443.661021
ENSG00000004468	CD38	9.740234315	15.23660305	11.8763324	22.6436146	18.33925161	4.037212277
ENSG00000004478	FKBP4	3336.100106	3306.810718	3242.598604	3211.214152	3237.130982	3416.48326
ENSG00000004487	KDM1A	3835.233547	3622.952382	3682.528238	3642.48184	3796.767449	3928.919981
ENSG00000004534	RBM6	1546.376269	1357.521176	1346.587791	1325.301492	1332.20889	1652.694643
ENSG00000004660	CAMKK1	93.37798616	155.4924618	157.6715659	158.9772427	134.394518	103.949452
ENSG00000004700	RECQL	4855.357455	3297.126089	3489.430021	3438.911003	3417.21286	4536.754496
ENSG00000004766	VPS50	297.4598507	318.6174581	258.3415822	305.8959172	293.0969614	312.8151481
ENSG00000004776	HSPB6	2.575299881	7.751519435	17.98955417	9.529948587	11.84580996	4.62860913
ENSG00000004777	ARHGAP33	102.9108169	175.9464777	208.7328308	215.729108	229.704025	105.247734
ENSG00000004779	NDUFAB1	2432.685539	1949.438509	1556.934755	1638.182156	1113.049569	1401.173459
ENSG00000004799	PDK4	415.8944718	470.3383463	429.7093178	386.8428833	377.4048275	340.8192514
ENSG00000004809	SLC22A16	0	0.897493329	0	0	0	0
ENSG00000004838	ZMYND10	0.929293544	1.500530278	0	6.169295069	0	0
ENSG00000004846	ABCB5	1.783771962	1.141297163	2.521932825	5.444226068	2.091079881	0
ENSG00000004864	SLC25A13	1096.806824	990.5250708	1059.960336	1060.000681	1031.752413	1129.821727
ENSG00000004866	ST7	731.9232633	681.8172351	643.9504945	648.0251553	685.2497244	682.4737018
ENSG00000004897	CDC27	7963.522496	5658.279431	5366.830817	5612.707298	5593.718689	8168.322386
ENSG00000004939	SLC4A1	0	0	0	0	1.960825475	0
ENSG00000004948	CALCR	0	0	0	0	0.97695589	0
ENSG00000004961	HCCS	1052.529113	791.4414809	827.0040114	785.9346248	797.8969572	1164.734645
ENSG00000004975	DVL2	771.4529956	1031.18273	992.6476809	1082.471299	1016.920646	919.3511939
ENSG00000005007	UPF1	678.0245501	1435.236469	1590.113289	1568.662106	1824.44595	1147.199029
ENSG00000005020	SKAP2	1761.634905	1739.607828	1787.87818	1905.698715	1811.274981	1780.816164
ENSG00000005022	SLC25A5	8800.681128	6038.137601	6112.882668	6357.226778	6460.470183	8696.11902
ENSG00000005059	MCUB	875.962903	687.2016068	680.5852664	704.7967333	719.1957499	693.8785408
ENSG00000005073	HOXA11	299.7043202	352.413868	354.4590325	340.1893398	387.0965261	273.7714471
ENSG00000005075	POLR2J	1284.149265	1057.992706	1117.314103	1040.782825	1093.353071	1102.868068
ENSG00000005100	DHX33	1633.393089	1965.364662	2000.588619	1930.838315	1957.693752	1892.258676
ENSG00000005102	MEOX1	0	0	0	0	0	0
ENSG00000005108	THSD7A	2161.472084	2382.778007	2422.249081	2459.235106	2336.89958	2182.397356
ENSG00000005156	LIG3	1072.406797	1140.803782	1037.317261	1152.0926	1052.569848	1005.681344
ENSG00000005175	RPAP3	1151.376032	1019.609118	1049.760846	1080.159314	1074.039087	1259.98657
ENSG00000005187	ACSM3	676.2669789	614.1473146	714.2921807	591.0738594	507.8786939	587.212767
ENSG00000005189	REXO5	143.2569042	163.8561305	186.5647705	124.3622238	109.6122149	179.4192806
ENSG00000005194	CIAPIN1	2726.703274	1496.258231	1447.522284	1601.129012	1605.417227	2712.893878
ENSG00000005206	SPPL2B	833.4318318	1158.287392	1191.599954	1068.024506	1111.088124	840.5134839
ENSG00000005238	ATOSB	1562.960912	1991.639416	1935.156871	1807.306811	1770.616563	1447.732022
ENSG00000005243	COPZ2	38.98403928	44.05070407	47.20890077	42.98186883	44.351724	37.74544659
ENSG00000005249	PRKAR2B	1666.71287	1546.153311	1490.82005	1641.350774	1590.466169	1534.449337
ENSG00000005302	MSL3	2891.482555	1583.653062	1693.496732	1680.449935	1717.768278	3272.952807
ENSG00000005339	CREBBP	2808.74063	3457.326014	3841.655345	3662.486269	3579.715477	2982.429401
ENSG00000005379	TSPOAP1	0	1.341498127	0.775294067	0	0	0
ENSG00000005381	MPO	0	4.48939128	0	1.934709918	0.991226	0
ENSG00000005421	PON1	0	0	0	0	0	1.02972727
ENSG00000005436	GCFC2	381.3090661	290.6566344	235.6488774	342.1808424	313.6246029	282.006516
ENSG00000005448	WDR54	274.31588	289.6683686	288.7850665	273.7613399	322.2746516	275.5056741
ENSG00000005469	CROT	522.7029763	418.0053327	426.2052733	343.5095693	329.616001	386.3391978
ENSG00000005471	ABCB4	1.011312018	2.602561768	0	3.71902844	0	0
ENSG00000005483	KMT2E	1807.524329	2052.648754	2053.215177	1873.416587	2182.083047	2328.825426
ENSG00000005486	RHBDD2	573.9507041	905.5657057	685.2276171	685.7714775	643.5076223	594.6095501
