ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000000003	TSPAN6	2156	2231	2144	2117	2122	1983
ENSG00000000419	DPM1	1736	1580	1677	1514	1550	1614
ENSG00000000457	SCYL3	311	334	325	303	296	242
ENSG00000000460	FIRRM	479	402	407	382	426	395
ENSG00000000938	FGR	0	6	2	5	1	3
ENSG00000000971	CFH	1948	2360	2223	1786	2258	1580
ENSG00000001036	FUCA2	1686	2025	1761	1653	1471	1586
ENSG00000001084	GCLC	856	961	882	938	853	863
ENSG00000001167	NFYA	2459	2768	2751	2567	2694	2409
ENSG00000001460	STPG1	125	177	171	191	146	125
ENSG00000001461	NIPAL3	607	767	752	646	675	630
ENSG00000001497	LAS1L	828	1106	1091	1013	1064	813
ENSG00000001561	ENPP4	817	849	843	750	701	626
ENSG00000001617	SEMA3F	2668	3415	3428	3418	3535	3219
ENSG00000001626	CFTR	0	0	0	2	0	0
ENSG00000001629	ANKIB1	2492	2722	2765	2559	2569	2532
ENSG00000001630	CYP51A1	3251	3477	3417	3280	3412	3469
ENSG00000001631	KRIT1	655	604	512	524	686	557
ENSG00000002016	RAD52	349	377	407	367	427	328
ENSG00000002330	BAD	804	959	946	869	753	632
ENSG00000002549	LAP3	3594	3601	3506	3181	3406	3331
ENSG00000002586	CD99	7269	9661	8510	7631	7248	6402
ENSG00000002587	HS3ST1	20	28	34	27	33	17
ENSG00000002746	HECW1	1	6	4	3	4	1
ENSG00000002822	MAD1L1	722	943	851	793	901	678
ENSG00000002834	LASP1	16012	17594	16536	15968	16589	16190
ENSG00000002919	SNX11	732	909	738	699	737	664
ENSG00000003056	M6PR	3525	3600	3432	3230	3400	3456
ENSG00000003096	KLHL13	845	996	884	902	917	874
ENSG00000003137	CYP26B1	111	146	168	189	165	89
ENSG00000003147	ICA1	790	967	1001	905	936	777
ENSG00000003249	DBNDD1	853	1045	1107	1012	1052	869
ENSG00000003393	ALS2	1153	1537	1229	1178	1460	1002
ENSG00000003400	CASP10	1570	1799	1627	1577	1643	1339
ENSG00000003402	CFLAR	10677	12303	12059	10745	11120	10304
ENSG00000003436	TFPI	23390	20677	21153	18749	18778	21209
ENSG00000003509	NDUFAF7	220	301	208	192	256	209
ENSG00000003756	RBM5	4563	5190	5040	4535	4740	4517
ENSG00000003987	MTMR7	43	7	17	23	15	20
ENSG00000003989	SLC7A2	1493	1609	1657	1973	1980	1828
ENSG00000004059	ARF5	1456	1867	1670	1713	1560	1354
ENSG00000004139	SARM1	185	296	241	197	201	158
ENSG00000004142	POLDIP2	2251	2623	2425	2370	2267	2370
ENSG00000004399	PLXND1	30429	39941	36438	34271	33397	30835
ENSG00000004455	AK2	3210	3870	3500	3817	3416	3487
ENSG00000004468	CD38	10	17	13	23	19	4
ENSG00000004478	FKBP4	3406	3749	3478	3382	3361	3323
ENSG00000004487	KDM1A	3837	4145	4003	3811	3957	3866
ENSG00000004534	RBM6	1224	1578	1396	1617	1522	1207
ENSG00000004660	CAMKK1	102	170	166	160	130	112
ENSG00000004700	RECQL	4126	3721	3880	3644	3668	3828
ENSG00000004766	VPS50	273	357	371	374	373	228
ENSG00000004776	HSPB6	3	10	21	11	13	5
ENSG00000004777	ARHGAP33	128	198	194	216	216	103
ENSG00000004779	NDUFAB1	2384	2209	1699	1702	1194	1297
ENSG00000004799	PDK4	430	520	470	387	386	339
ENSG00000004809	SLC22A16	0	1	0	0	0	0
ENSG00000004838	ZMYND10	1	1	0	7	0	0
ENSG00000004846	ABCB5	2	1	3	5	3	0
ENSG00000004864	SLC25A13	1096	1126	1170	1099	1083	1071
ENSG00000004866	ST7	709	785	752	693	712	638
ENSG00000004897	CDC27	6904	6333	6415	6024	6269	6782
ENSG00000004939	SLC4A1	0	0	0	0	2	0
ENSG00000004948	CALCR	0	0	0	0	1	0
ENSG00000004961	HCCS	909	953	973	900	895	806
ENSG00000004975	DVL2	790	1132	1005	1059	1020	857
ENSG00000005007	UPF1	753	1591	1634	1608	1823	1234
ENSG00000005020	SKAP2	1817	1920	1956	1904	1852	1781
ENSG00000005022	SLC25A5	7849	7155	6871	6904	6941	7074
ENSG00000005059	MCUB	865	771	752	718	746	651
ENSG00000005073	HOXA11	314	395	380	351	385	274
ENSG00000005075	POLR2J	1129	1244	1233	1132	1157	871
ENSG00000005100	DHX33	1723	2209	2146	1998	2028	1910
ENSG00000005102	MEOX1	0	0	0	0	0	0
ENSG00000005108	THSD7A	2338	2638	2600	2484	2394	2299
ENSG00000005156	LIG3	1004	1292	1215	1205	1248	1027
ENSG00000005175	RPAP3	1060	1190	1205	1126	1170	1095
ENSG00000005187	ACSM3	646	713	795	612	594	529
ENSG00000005189	REXO5	135	187	150	154	136	153
ENSG00000005194	CIAPIN1	2014	2075	1876	1961	1928	1941
ENSG00000005206	SPPL2B	944	1299	1210	1106	1076	891
ENSG00000005238	ATOSB	1714	2195	1985	1851	1764	1525
ENSG00000005243	COPZ2	35	51	50	47	47	30
ENSG00000005249	PRKAR2B	1757	1752	1673	1630	1637	1594
ENSG00000005302	MSL3	2114	1949	2064	1902	1984	2181
ENSG00000005339	CREBBP	3002	3883	3806	3755	3580	3264
ENSG00000005379	TSPOAP1	0	1	1	0	0	0
ENSG00000005381	MPO	0	5	0	2	1	0
ENSG00000005421	PON1	0	0	0	0	0	1
ENSG00000005436	GCFC2	361	338	296	348	289	266
ENSG00000005448	WDR54	248	338	313	294	336	226
ENSG00000005469	CROT	486	487	525	369	367	353
ENSG00000005471	ABCB4	1	3	0	4	0	0
ENSG00000005483	KMT2E	1677	2188	2223	2101	2176	1895
ENSG00000005486	RHBDD2	578	1049	719	711	653	570
ENSG00000005513	SOX8	39	56	30	26	31	10
ENSG00000005700	IBTK	2612	2608	2474	2316	2322	2312
ENSG00000005801	ZNF195	687	571	669	533	595	570
ENSG00000005810	MYCBP2	4183	4305	4310	4093	4156	3852
ENSG00000005812	FBXL3	1647	1603	1694	1462	1512	1412
ENSG00000005844	ITGAL	2	0	0	0	0	0
ENSG00000005882	PDK2	324	489	410	335	344	274
ENSG00000005884	ITGA3	2205	2797	2529	2492	2484	2118
ENSG00000005889	ZFX	1427	1594	1446	1512	1482	1366
ENSG00000005893	LAMP2	9014	8681	8659	7910	8126	8189
ENSG00000005961	ITGA2B	4	0	10	10	0	1
ENSG00000005981	ASB4	0	0	0	0	0	0
ENSG00000006007	GDE1	1476	1656	1637	1482	1526	1256
ENSG00000006015	REX1BD	137	244	160	133	76	44
ENSG00000006016	CRLF1	3	4	3	2	5	1
ENSG00000006025	OSBPL7	371	459	480	495	481	388
ENSG00000006042	TMEM98	2367	2541	2329	2244	2357	2193
ENSG00000006047	YBX2	0	0	0	0	3	0
ENSG00000006062	MAP3K14	162	306	265	263	237	214
ENSG00000006118	TMEM132A	3363	4923	4341	3837	3734	3150
ENSG00000006125	AP2B1	12849	12676	12931	11821	11694	12240
