ensembl	symbol	HepG2-DMSO-B	HepG2-DMSO-C	HepG2-DMSO-D	HepG2-GiB-A	HepG2-GiB-B	HepG2-GiB-C	HepG2-GiB-D
ENSG00000000003	TSPAN6	3570	2659	2554	2684	2779	2903	4029
ENSG00000000419	DPM1	3035	2529	2231	2568	2612	2832	3879
ENSG00000000457	SCYL3	225	186	180	180	193	224	336
ENSG00000000460	C1orf112	501	444	327	402	418	463	690
ENSG00000001036	FUCA2	7836	5888	5778	6426	6965	7273	9845
ENSG00000001084	GCLC	4258	3117	3113	3299	3567	3653	5361
ENSG00000001167	NFYA	2406	1831	1826	1868	2034	2147	3161
ENSG00000001460	STPG1	151	119	98	133	128	151	230
ENSG00000001461	NIPAL3	520	355	391	406	467	481	646
ENSG00000001497	LAS1L	1213	1024	924	1029	1029	1061	1564
ENSG00000001561	ENPP4	5	1	0	5	1	1	6
ENSG00000001617	SEMA3F	1398	1180	1095	1229	1303	1317	1960
ENSG00000001626	CFTR	5	2	0	1	5	5	8
ENSG00000001629	ANKIB1	1645	1307	1316	1246	1569	1593	2266
ENSG00000001630	CYP51A1	7320	5421	5532	5612	5855	6400	8752
ENSG00000001631	KRIT1	596	493	551	555	505	573	938
ENSG00000002016	RAD52	380	345	291	295	366	373	510
ENSG00000002330	BAD	426	397	298	383	422	407	467
ENSG00000002549	LAP3	4324	3220	3234	3608	3814	3988	5385
ENSG00000002586	CD99	5920	4693	4734	4919	5240	5076	6917
ENSG00000002587	HS3ST1	0	1	1	0	0	1	0
ENSG00000002745	WNT16	0	1	0	3	0	0	3
ENSG00000002746	HECW1	0	2	2	0	2	4	1
ENSG00000002822	MAD1L1	1596	1236	1190	1413	1442	1349	1872
ENSG00000002834	LASP1	20413	16124	15341	15814	17366	18365	25112
ENSG00000002919	SNX11	651	452	376	487	518	586	710
ENSG00000003056	M6PR	4488	3511	3316	3483	3982	4094	5808
ENSG00000003096	KLHL13	17	15	15	20	22	28	27
ENSG00000003137	CYP26B1	29	16	19	23	22	22	35
ENSG00000003147	ICA1	1	2	1	2	0	6	2
ENSG00000003249	DBNDD1	1894	1486	1441	1464	1664	1729	2534
ENSG00000003393	ALS2	692	658	743	573	750	880	1156
ENSG00000003400	CASP10	1088	800	850	851	913	956	1424
ENSG00000003402	CFLAR	2922	2510	2257	2286	2704	2764	4061
ENSG00000003436	TFPI	13334	10099	9984	10659	11202	11958	16916
ENSG00000003509	NDUFAF7	584	492	486	573	542	583	773
ENSG00000003756	RBM5	2243	1836	1717	1678	1877	2071	2886
ENSG00000003987	MTMR7	31	34	27	32	27	46	60
ENSG00000003989	SLC7A2	5478	3876	4411	4233	4626	5526	8123
ENSG00000004059	ARF5	2128	1730	1524	1754	1896	1799	2396
ENSG00000004139	SARM1	57	52	50	53	45	49	59
ENSG00000004142	POLDIP2	4762	3823	3429	3913	4121	4477	5740
ENSG00000004399	PLXND1	4964	3409	3927	3235	4008	4341	6534
ENSG00000004455	AK2	4245	3401	3084	3422	3743	3707	5159
ENSG00000004468	CD38	0	0	1	0	0	1	0
ENSG00000004478	FKBP4	5278	4156	3839	4244	4751	4789	6541
ENSG00000004487	KDM1A	6494	4657	4753	4756	5388	5723	8252
ENSG00000004534	RBM6	2851	2260	2202	2031	2221	2550	3530
ENSG00000004660	CAMKK1	80	74	51	74	66	88	115
ENSG00000004700	RECQL	1442	1011	1054	1103	1127	1314	1673
ENSG00000004766	VPS50	241	192	199	162	246	252	393
ENSG00000004776	HSPB6	13	10	5	9	9	9	15
ENSG00000004777	ARHGAP33	258	229	187	164	193	216	320
ENSG00000004779	NDUFAB1	4451	3532	2970	3567	3813	3910	5223
ENSG00000004799	PDK4	1	0	4	3	4	2	2
ENSG00000004809	SLC22A16	0	0	1	0	1	0	3
ENSG00000004838	ZMYND10	7	10	8	0	5	3	7
ENSG00000004846	ABCB5	9	19	12	12	12	9	15
ENSG00000004848	ARX	0	0	0	1	1	0	0
ENSG00000004864	SLC25A13	3791	2629	2713	2919	3177	3430	4848
ENSG00000004866	ST7	883	654	644	676	673	744	1068
ENSG00000004897	CDC27	4757	3465	3544	3595	3894	4403	6099
ENSG00000004939	SLC4A1	1	2	0	0	3	2	3
ENSG00000004961	HCCS	793	622	628	706	747	736	1015
ENSG00000004975	DVL2	2150	1674	1651	1773	1993	2067	2753
ENSG00000005001	PRSS22	4	0	1	7	5	4	6
ENSG00000005007	UPF1	6270	4837	4623	4940	5434	5269	6344
ENSG00000005020	SKAP2	1451	1061	1039	1198	1208	1332	1998
