ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000000003	TSPAN6	745	975	569	865	565	596	689
ENSG00000000419	DPM1	1658	2169	1303	1664	1208	1296	1383
ENSG00000000457	SCYL3	289	413	269	347	221	234	276
ENSG00000000460	C1orf112	930	1108	704	990	747	702	827
ENSG00000000971	CFH	71	160	115	162	74	68	122
ENSG00000001036	FUCA2	4908	6592	3793	5420	3566	3839	4603
ENSG00000001084	GCLC	1563	2078	1131	1634	1113	1236	1353
ENSG00000001167	NFYA	1799	2383	1291	1943	1327	1353	1572
ENSG00000001460	STPG1	375	591	325	472	341	334	370
ENSG00000001461	NIPAL3	3311	4653	2724	4000	2515	2802	2849
ENSG00000001497	LAS1L	1908	2532	1513	2127	1483	1707	1672
ENSG00000001561	ENPP4	2	0	0	1	0	0	0
ENSG00000001617	SEMA3F	88	98	89	97	50	68	75
ENSG00000001626	CFTR	3	11	3	4	3	6	7
ENSG00000001629	ANKIB1	3770	5169	3154	4764	3058	3278	3331
ENSG00000001630	CYP51A1	17272	23670	13711	19616	13114	14317	15325
ENSG00000001631	KRIT1	1642	2292	1401	1988	1479	1521	1721
ENSG00000002016	RAD52	456	628	347	545	360	395	437
ENSG00000002330	BAD	690	928	527	881	501	564	638
ENSG00000002549	LAP3	5407	7267	4157	5879	4057	4376	4732
ENSG00000002586	CD99	8323	11337	6743	9198	5865	6465	6833
ENSG00000002587	HS3ST1	96	97	63	97	59	73	69
ENSG00000002726	AOC1	2	1	0	0	0	0	2
ENSG00000002745	WNT16	5	2	4	2	2	1	4
ENSG00000002746	HECW1	192	229	118	200	117	122	153
ENSG00000002822	MAD1L1	6737	9219	5182	7534	4993	5257	6265
ENSG00000002834	LASP1	5413	7340	4343	6343	4142	4434	4570
ENSG00000002919	SNX11	1112	1535	839	1232	761	907	1014
ENSG00000003056	M6PR	10047	13749	7743	11233	7409	8084	8943
ENSG00000003096	KLHL13	435	601	328	483	338	337	398
ENSG00000003137	CYP26B1	7	7	7	7	4	6	6
ENSG00000003147	ICA1	471	483	309	458	330	282	383
ENSG00000003249	DBNDD1	564	750	452	689	401	452	376
ENSG00000003393	ALS2	1119	1497	713	1407	637	1039	1158
ENSG00000003400	CASP10	209	317	197	256	202	198	208
ENSG00000003402	CFLAR	1404	1994	1117	1659	1138	1237	1379
ENSG00000003436	TFPI	59	82	59	85	44	51	49
ENSG00000003509	NDUFAF7	486	675	407	549	332	371	405
ENSG00000003756	RBM5	2039	2653	1611	2235	1548	1586	1858
ENSG00000003987	MTMR7	73	118	50	97	50	60	45
ENSG00000003989	SLC7A2	1700	2424	1492	2127	1492	1580	1611
ENSG00000004059	ARF5	2805	3840	2351	3386	2104	2197	2297
ENSG00000004139	SARM1	821	1202	708	1111	642	750	876
ENSG00000004142	POLDIP2	4738	6260	3527	5342	3385	3865	4182
ENSG00000004399	PLXND1	308	475	353	426	279	309	271
ENSG00000004455	AK2	7468	11208	6355	9038	6131	6651	7419
ENSG00000004468	CD38	4	4	1	4	1	4	3
ENSG00000004478	FKBP4	7766	10506	6051	8507	5696	6578	6857
ENSG00000004487	KDM1A	3482	4771	2832	4081	2638	2900	3123
ENSG00000004534	RBM6	2371	2960	1875	2582	1653	1743	2032
ENSG00000004660	CAMKK1	279	384	221	315	212	241	289
ENSG00000004700	RECQL	3669	5035	2940	4235	2993	3034	3347
ENSG00000004766	VPS50	547	861	412	614	407	543	470
ENSG00000004776	HSPB6	17	16	10	20	6	7	14
ENSG00000004777	ARHGAP33	1255	1601	1057	1367	830	863	965
ENSG00000004779	NDUFAB1	1993	2569	1592	2146	1407	1573	1809
ENSG00000004799	PDK4	171	194	112	178	115	143	117
ENSG00000004809	SLC22A16	2	3	1	1	3	0	1
ENSG00000004838	ZMYND10	13	13	13	2	6	5	7
ENSG00000004846	ABCB5	7850	11048	6369	9159	6825	6979	7417
ENSG00000004848	ARX	4	11	3	2	6	5	6
ENSG00000004864	SLC25A13	4686	6491	3817	5435	3684	3875	3947
ENSG00000004866	ST7	1464	1959	1111	1749	1173	1259	1308
ENSG00000004897	CDC27	5158	7188	4240	5947	4285	4413	4761
ENSG00000004939	SLC4A1	1	1	2	3	1	0	0
ENSG00000004961	HCCS	1523	2009	1131	1575	1080	1229	1232
ENSG00000004975	DVL2	1317	1995	1040	1485	1121	1186	1348
ENSG00000005001	PRSS22	1	0	0	0	2	0	5
ENSG00000005007	UPF1	6131	9923	5304	7805	5943	5953	6902
ENSG00000005020	SKAP2	1440	1925	1144	1608	1155	1275	1331
ENSG00000005022	SLC25A5	22361	29751	17820	25080	16446	18141	19712
ENSG00000005059	MCUB	682	898	482	705	432	477	578
ENSG00000005073	HOXA11	180	184	80	170	114	121	111
ENSG00000005075	POLR2J	2133	2943	1639	2371	1508	1635	1804
ENSG00000005100	DHX33	2906	3890	2279	3342	2319	2571	2576
ENSG00000005108	THSD7A	4	5	2	1	0	0	0
ENSG00000005156	LIG3	1437	1914	1079	1651	1121	1172	1222
ENSG00000005175	RPAP3	1206	1584	917	1363	893	985	1075
ENSG00000005187	ACSM3	102	142	86	128	84	87	77
ENSG00000005189	REXO5	95	184	79	132	83	106	107
ENSG00000005194	CIAPIN1	3123	4416	2453	3397	2365	2660	3011
ENSG00000005206	SPPL2B	1041	1401	857	1279	702	838	884
ENSG00000005238	FAM214B	2065	2634	1731	2464	1507	1628	1571
ENSG00000005243	COPZ2	476	671	390	501	348	362	394
ENSG00000005249	PRKAR2B	1334	1789	1133	1532	1087	1148	1118
ENSG00000005302	MSL3	846	1217	694	988	670	691	769
ENSG00000005339	CREBBP	1820	2527	1396	2048	1486	1588	1499
ENSG00000005379	TSPOAP1	2	8	7	7	6	3	7
ENSG00000005421	PON1	1	0	0	1	0	0	0
ENSG00000005436	GCFC2	910	1158	788	967	616	702	718
ENSG00000005448	WDR54	650	937	548	814	471	548	539
ENSG00000005469	CROT	804	1105	637	866	585	651	707
ENSG00000005471	ABCB4	157	203	131	203	107	99	119
ENSG00000005483	KMT2E	2144	3623	2001	2937	2251	1884	2047
ENSG00000005486	RHBDD2	2338	3101	1517	2437	1643	1629	1903
ENSG00000005513	SOX8	28	6	19	21	24	28	15
ENSG00000005700	IBTK	2863	3838	2366	3287	2139	2192	2298
ENSG00000005801	ZNF195	343	422	205	332	179	243	285
ENSG00000005810	MYCBP2	2408	3627	2084	2954	2395	2314	2413
ENSG00000005812	FBXL3	1670	2243	1293	1663	1184	1289	1400
ENSG00000005844	ITGAL	1	0	0	0	0	0	0
ENSG00000005882	PDK2	1001	1262	711	1072	714	760	778
ENSG00000005884	ITGA3	945	1297	949	1156	677	773	751
ENSG00000005889	ZFX	1401	1935	1106	1571	1161	1138	1277
ENSG00000005893	LAMP2	11195	15470	9203	13089	8764	9293	9988
ENSG00000005961	ITGA2B	37	48	36	59	30	25	21
ENSG00000005981	ASB4	9	8	6	7	7	11	7
ENSG00000006007	GDE1	1811	2548	1526	2143	1323	1540	1664
ENSG00000006015	REX1BD	732	955	560	828	483	601	646
ENSG00000006016	CRLF1	1	4	2	2	0	4	2
ENSG00000006025	OSBPL7	262	324	190	354	186	229	231
ENSG00000006042	TMEM98	2240	2994	1835	2588	1659	1847	2061
ENSG00000006047	YBX2	56	48	23	43	34	26	35
ENSG00000006062	MAP3K14	183	288	144	259	155	156	179
ENSG00000006071	ABCC8	1	0	0	0	0	0	0
ENSG00000006118	TMEM132A	26	41	17	30	16	17	18
ENSG00000006125	AP2B1	9982	14150	8525	12378	8192	8943	8870
ENSG00000006128	TAC1	1078	1305	732	866	727	830	1097
ENSG00000006194	ZNF263	763	1082	585	903	581	624	706
ENSG00000006210	CX3CL1	313	376	226	362	203	242	271
ENSG00000006282	SPATA20	697	884	574	804	458	497	637
ENSG00000006283	CACNA1G	0	2	0	0	1	1	0
ENSG00000006327	TNFRSF12A	878	1313	604	896	605	593	879
ENSG00000006377	DLX6	153	148	96	140	104	97	91
ENSG00000006432	MAP3K9	708	963	600	816	594	618	620
ENSG00000006451	RALA	2143	2652	1652	2247	1571	1722	1917
ENSG00000006453	BAIAP2L1	3145	4369	2529	3689	2300	2528	2651
ENSG00000006459	KDM7A	213	317	258	304	240	240	200
ENSG00000006468	ETV1	3827	5376	3200	4631	3030	3304	3311
ENSG00000006530	AGK	1603	2179	1264	1881	1188	1333	1393
ENSG00000006534	ALDH3B1	481	627	386	573	301	355	355
ENSG00000006555	TTC22	0	1	0	0	0	0	0
ENSG00000006576	PHTF2	3382	4755	2860	3963	2775	2778	2853
ENSG00000006607	FARP2	6004	8221	5199	7502	5468	5630	5914
ENSG00000006625	GGCT	1907	2510	1431	1996	1295	1443	1610
ENSG00000006634	DBF4	545	870	590	694	436	548	510
ENSG00000006638	TBXA2R	48	38	15	46	34	44	37
ENSG00000006652	IFRD1	1397	1587	1145	1399	981	1068	1102
ENSG00000006695	COX10	417	583	340	541	343	351	409
ENSG00000006704	GTF2IRD1	718	937	606	833	610	637	641
ENSG00000006712	PAF1	2224	2753	1611	2477	1593	1751	1825
