ensembl	symbol	MPCa-DMSO-A	MPCa-DMSO-B	MPCa-DMSO-C	MPCa-DMSO-D	MPCa-GiB-A	MPCa-GiB-B	MPCa-GiB-C	MPCa-GiB-D
ENSG00000000003	TSPAN6	3	5	5	1	4	0	1	2
ENSG00000000419	DPM1	1258	1857	2056	1264	1609	1680	1422	1875
ENSG00000000457	SCYL3	197	273	306	166	149	191	158	185
ENSG00000000460	C1orf112	409	761	769	409	790	653	578	699
ENSG00000000971	CFH	0	2	7	6	6	0	3	4
ENSG00000001036	FUCA2	2625	3903	4387	2689	3125	3531	3073	3681
ENSG00000001084	GCLC	502	778	880	446	480	487	426	464
ENSG00000001167	NFYA	1136	1856	1978	1163	1379	1436	1170	1261
ENSG00000001460	STPG1	84	108	124	66	76	92	62	96
ENSG00000001461	NIPAL3	182	242	324	179	169	190	133	169
ENSG00000001497	LAS1L	2045	3179	3653	2211	2625	2866	2403	2926
ENSG00000001617	SEMA3F	70	83	109	58	54	65	41	47
ENSG00000001626	CFTR	2	3	1	3	3	3	2	3
ENSG00000001629	ANKIB1	1856	2765	2974	1784	1983	1943	1442	1590
ENSG00000001630	CYP51A1	2540	3975	4184	2418	2979	3309	2609	3033
ENSG00000001631	KRIT1	560	852	885	518	567	583	488	539
ENSG00000002016	RAD52	202	349	368	193	149	220	159	237
ENSG00000002330	BAD	410	674	826	530	480	561	507	663
ENSG00000002549	LAP3	1270	1919	2136	1309	1484	1610	1419	1657
ENSG00000002586	CD99	4096	6260	7541	4519	4162	4784	4007	5275
ENSG00000002587	HS3ST1	2	0	0	2	0	0	0	0
ENSG00000002745	WNT16	2	12	11	4	6	11	7	6
ENSG00000002746	HECW1	91	142	166	89	76	83	65	64
ENSG00000002822	MAD1L1	989	1412	1874	1112	1399	1528	1341	1665
ENSG00000002834	LASP1	8119	12044	13832	8200	10169	11141	9374	10750
ENSG00000002919	SNX11	297	505	567	349	433	404	410	500
ENSG00000003056	M6PR	3997	6153	6689	4124	4784	5144	4271	4978
ENSG00000003096	KLHL13	30	43	52	31	27	53	29	40
ENSG00000003137	CYP26B1	75	116	122	81	71	67	56	69
ENSG00000003147	ICA1	13	42	40	1	12	1	14	23
ENSG00000003249	DBNDD1	1284	1938	2280	1407	1265	1384	1196	1448
ENSG00000003393	ALS2	692	774	944	552	719	560	573	404
ENSG00000003400	CASP10	389	590	703	385	370	345	317	337
ENSG00000003402	CFLAR	1638	2648	3019	1655	1706	1861	1399	1723
ENSG00000003436	TFPI	3947	6302	6436	3820	4658	4804	4116	4692
ENSG00000003509	NDUFAF7	377	612	662	437	341	381	279	347
