ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000000003	TSPAN6	521.9775864	505.3346196	495.398148	487.3499387	490.5148783	610.4880831	410.9570986	544.1087691
ENSG00000000005	TNMD	0.908666256	0	0	0	0	2.777128382	0	0
ENSG00000000419	DPM1	1798.87401	1649.300921	1641.459151	1751.443008	1483.811659	1498.501293	1373.349532	1725.353574
ENSG00000000457	SCYL3	415.6394962	403.9273446	342.85527	275.1260924	252.7391729	448.2112245	406.0385554	385.5277522
ENSG00000000460	C1orf112	322.9926901	273.0713886	289.5179052	244.6965033	359.2632865	189.6354411	234.2992049	195.5322726
ENSG00000000938	FGR	3.941301071	1.401250455	5.974766169	1.711857583	4.86291293	8.873421408	0	0
ENSG00000000971	CFH	204.4764757	206.5413284	108.0901677	142.8463704	115.5336494	429.4812834	68.95090863	98.14296859
ENSG00000001036	FUCA2	820.5964499	712.1580677	780.0873361	871.9823033	848.5922747	783.9315083	814.2759176	924.2350712
ENSG00000001084	GCLC	692.881759	661.9438296	681.900965	693.4642937	521.0996305	527.0147733	532.6848473	608.627988
ENSG00000001167	NFYA	749.3429475	674.3234751	778.2135894	594.0076458	678.411795	523.7364214	568.7812137	518.2721451
ENSG00000001460	STPG1	192.1260865	204.9653785	186.3315965	175.8415064	218.7581845	162.1512781	184.884147	164.7624409
ENSG00000001461	NIPAL3	1246.115069	1112.912109	1254.155825	885.6552846	1317.780459	1765.971512	1034.646766	1322.569631
ENSG00000001497	LAS1L	1083.489885	1149.607293	1305.439106	1246.316358	998.2077702	886.928259	991.6184604	1070.166949
ENSG00000001561	ENPP4	61.89304434	78.70052009	90.52286338	62.81065929	93.77477772	92.52752216	65.84251754	96.89507557
ENSG00000001617	SEMA3F	660.7548259	1343.910528	1606.865568	1575.410918	852.638462	102.0749209	1104.993003	288.1661633
ENSG00000001626	CFTR	0	0	9.796054182	1.424928488	0	0	0	1.34553841
ENSG00000001629	ANKIB1	1298.641188	1280.493973	1200.298337	1130.751568	1100.007341	1109.070053	1230.787868	1007.326053
ENSG00000001630	CYP51A1	1359.271951	1344.355409	1357.973361	1586.523908	1475.522092	1010.208405	1963.03861	1178.914357
ENSG00000001631	KRIT1	411.0875281	297.1722238	455.6741675	446.3715184	250.3101575	271.9265719	218.6997123	378.0370673
ENSG00000002016	RAD52	209.869813	220.4221895	132.2022692	156.3667671	147.6315422	192.610533	225.3749217	139.1622154
ENSG00000002330	BAD	942.1389365	904.0407883	987.6312178	1311.373409	1208.682622	1423.647984	1368.681988	1528.449628
ENSG00000002549	LAP3	1764.91245	1455.567644	1723.93502	1578.013864	1517.427257	1381.477966	1042.472376	1459.512484
