ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000000003	TSPAN6	554	643	598	510	448	432	352	487
ENSG00000000005	TNMD	1	0	0	0	0	2	0	0
ENSG00000000419	DPM1	1949	2025	2036	1855	1354	1156	1116	1513
ENSG00000000457	SCYL3	443	540	427	287	245	369	342	334
ENSG00000000460	C1orf112	337	359	292	246	334	117	140	171
ENSG00000000938	FGR	5	2	9	2	5	3	0	0
ENSG00000000971	CFH	250	285	149	157	105	270	45	93
ENSG00000001036	FUCA2	907	891	1002	924	783	566	638	788
ENSG00000001084	GCLC	777	784	846	747	471	407	436	535
ENSG00000001167	NFYA	826	856	877	664	576	435	402	500
ENSG00000001460	STPG1	213	259	248	186	187	119	137	141
ENSG00000001461	NIPAL3	1453	1425	1568	936	1180	1278	763	1141
ENSG00000001497	LAS1L	1224	1465	1728	1300	920	622	753	911
ENSG00000001561	ENPP4	67	96	109	67	86	76	55	86
ENSG00000001617	SEMA3F	736	1718	2157	1677	779	71	813	254
ENSG00000001626	CFTR	0	0	11	3	0	0	0	1
ENSG00000001629	ANKIB1	1451	1604	1548	1187	1011	818	963	870
ENSG00000001630	CYP51A1	1490	1662	1690	1678	1365	776	1591	1039
ENSG00000001631	KRIT1	474	360	578	481	238	206	176	328
ENSG00000002016	RAD52	228	246	202	182	127	139	176	127
ENSG00000002330	BAD	1072	1182	1357	1319	1153	962	966	1316
ENSG00000002549	LAP3	1954	1868	2269	1647	1393	972	807	1251
ENSG00000002586	CD99	1482	2075	2332	2065	1740	1424	1775	2145
ENSG00000002587	HS3ST1	18	36	61	25	41	27	23	20
ENSG00000002726	AOC1	1	1	1	0	0	0	0	1
ENSG00000002745	WNT16	5	2	5	5	6	13	4	8
ENSG00000002746	HECW1	128	90	106	61	45	39	38	27
ENSG00000002822	MAD1L1	652	742	893	596	397	380	498	618
ENSG00000002834	LASP1	6315	9048	11314	8160	5704	3347	4751	4160
ENSG00000002919	SNX11	444	456	521	441	385	281	331	312
ENSG00000002933	TMEM176A	0	0	1	0	0	0	0	0
ENSG00000003056	M6PR	3926	4360	4460	3315	2882	2480	3074	3165
ENSG00000003096	KLHL13	35	26	24	24	27	16	16	20
ENSG00000003137	CYP26B1	347	352	311	231	107	16	23	18
ENSG00000003147	ICA1	184	199	113	115	155	159	98	151
ENSG00000003249	DBNDD1	370	301	278	170	242	297	57	633
ENSG00000003393	ALS2	191	201	296	164	164	101	162	121
ENSG00000003400	CASP10	84	58	74	49	49	37	48	39
ENSG00000003402	CFLAR	523	629	598	446	472	387	658	355
ENSG00000003436	TFPI	199	381	463	304	326	155	377	156
ENSG00000003509	NDUFAF7	383	466	450	376	315	250	200	256
ENSG00000003756	RBM5	869	999	985	860	735	750	830	633
ENSG00000003987	MTMR7	48	48	42	31	16	20	35	30
ENSG00000003989	SLC7A2	333	348	352	267	218	100	153	181
ENSG00000004059	ARF5	2352	2552	2928	2861	2167	1929	1951	2340
ENSG00000004139	SARM1	719	744	940	528	390	208	219	334
ENSG00000004142	POLDIP2	4645	5067	6162	4556	3055	2265	2660	3132
ENSG00000004399	PLXND1	1145	1092	1449	919	586	435	712	458
ENSG00000004455	AK2	3619	4419	5015	4080	2984	2135	2817	2918
ENSG00000004468	CD38	5	3	6	3	11	1	2	0
ENSG00000004478	FKBP4	2850	3499	3582	2824	2063	1505	2159	2070
ENSG00000004487	KDM1A	2563	2986	3785	2556	1840	1110	1311	1582
ENSG00000004534	RBM6	887	999	1006	852	623	622	656	793
ENSG00000004660	CAMKK1	40	57	65	53	60	48	44	25
ENSG00000004700	RECQL	1670	1679	1933	1468	1168	1102	1103	1151
ENSG00000004766	VPS50	152	124	233	142	134	121	92	117
ENSG00000004776	HSPB6	19	18	14	10	12	27	5	18
ENSG00000004777	ARHGAP33	103	77	78	80	86	93	67	99
ENSG00000004779	NDUFAB1	1797	2129	2063	1907	1520	1144	1555	1517
ENSG00000004799	PDK4	222	340	181	149	316	599	79	359
ENSG00000004809	SLC22A16	3	0	0	0	0	2	0	1
ENSG00000004838	ZMYND10	41	55	56	46	36	45	19	50
ENSG00000004846	ABCB5	3	6	4	5	1	2	9	1
ENSG00000004848	ARX	1	3	1	0	1	2	1	0
ENSG00000004864	SLC25A13	1344	1276	1479	1262	689	475	648	662
ENSG00000004866	ST7	379	434	424	335	301	221	283	271
ENSG00000004897	CDC27	1672	1897	1987	1589	1310	1112	1258	1230
ENSG00000004939	SLC4A1	0	0	2	0	0	1	1	1
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	976	1038	1187	987	663	424	626	597
ENSG00000004975	DVL2	1554	2323	2262	1740	1476	999	1315	1344
ENSG00000005001	PRSS22	0	1	3	0	0	0	0	2
ENSG00000005007	UPF1	2873	3724	4674	2167	2316	1306	1158	1245
ENSG00000005020	SKAP2	537	674	667	621	506	415	487	423
ENSG00000005022	SLC25A5	10190	11687	13361	11264	9394	4909	6426	8445
ENSG00000005059	MCUB	413	523	466	447	401	278	365	449
ENSG00000005073	HOXA11	40	20	26	23	35	38	17	53
ENSG00000005075	POLR2J	1690	1834	2027	1925	1314	1289	1323	1772
ENSG00000005100	DHX33	1586	1503	1820	1255	976	809	911	858
ENSG00000005102	MEOX1	2	1	0	4	0	2	0	2
ENSG00000005108	THSD7A	28	43	101	44	23	34	25	28
ENSG00000005156	LIG3	528	692	712	554	504	411	495	491
ENSG00000005175	RPAP3	868	893	889	755	545	502	494	610
ENSG00000005187	ACSM3	17	24	19	7	31	23	5	23
ENSG00000005189	REXO5	193	253	292	239	173	102	137	177
ENSG00000005194	CIAPIN1	1817	1857	2022	1682	1158	844	1146	1122
ENSG00000005206	SPPL2B	484	547	567	480	366	433	443	396
ENSG00000005238	FAM214B	673	480	551	514	420	450	429	429
ENSG00000005243	COPZ2	279	356	364	330	363	275	143	318
ENSG00000005249	PRKAR2B	565	403	347	384	337	439	216	601
ENSG00000005302	MSL3	596	693	697	630	587	334	427	415
ENSG00000005339	CREBBP	1240	1413	1455	1118	942	725	872	744
ENSG00000005379	TSPOAP1	7	2	4	1	0	5	3	0
ENSG00000005421	PON1	0	1	0	0	0	1	0	0
ENSG00000005436	GCFC2	629	733	625	590	528	414	514	447
ENSG00000005448	WDR54	1198	2056	2030	1955	1292	668	1058	1217
ENSG00000005469	CROT	260	214	236	208	166	139	139	125
ENSG00000005471	ABCB4	13	2	7	5	7	13	6	11
ENSG00000005483	KMT2E	726	777	980	792	758	662	626	572
ENSG00000005486	RHBDD2	1138	1083	1606	1225	1131	1037	763	1191
ENSG00000005513	SOX8	0	0	0	0	0	2	0	0
ENSG00000005700	IBTK	606	548	728	453	429	283	291	364
ENSG00000005801	ZNF195	174	189	169	144	215	212	137	232
ENSG00000005810	MYCBP2	408	572	530	469	417	294	336	318
ENSG00000005812	FBXL3	647	745	710	667	581	481	456	565
ENSG00000005844	ITGAL	0	0	0	0	0	0	0	1
ENSG00000005882	PDK2	455	448	561	406	371	358	161	343
ENSG00000005884	ITGA3	7589	9859	11094	7589	7981	5013	6023	7219
ENSG00000005889	ZFX	721	779	779	589	573	434	475	499
ENSG00000005893	LAMP2	1253	1591	1522	1299	1682	936	910	1046
ENSG00000005961	ITGA2B	0	2	3	2	3	1	0	2
ENSG00000005981	ASB4	19	8	3	3	6	24	2	21
ENSG00000006007	GDE1	1070	1192	1291	981	758	699	817	678
ENSG00000006015	REX1BD	775	698	766	714	646	655	446	837
ENSG00000006016	CRLF1	56	43	3	10	79	73	6	123
ENSG00000006025	OSBPL7	312	365	383	283	248	277	252	203
ENSG00000006042	TMEM98	43	33	12	19	171	116	52	130
ENSG00000006047	YBX2	0	0	0	0	0	2	0	0
ENSG00000006062	MAP3K14	347	444	599	295	416	104	241	254
ENSG00000006118	TMEM132A	1224	1167	1245	825	959	964	694	1859
ENSG00000006125	AP2B1	6184	7540	8580	5731	5219	3040	3791	4047
ENSG00000006128	TAC1	8	8	13	2	5	0	2	0
ENSG00000006194	ZNF263	698	797	750	597	543	425	531	471
ENSG00000006210	CX3CL1	79	69	46	27	50	121	8	175
ENSG00000006282	SPATA20	823	974	1083	707	609	540	508	759
ENSG00000006283	CACNA1G	9	3	2	1	8	23	4	5
ENSG00000006327	TNFRSF12A	4409	5275	5710	4824	3742	2820	6232	3705
ENSG00000006377	DLX6	4	1	1	0	6	3	0	1
ENSG00000006432	MAP3K9	229	288	281	185	156	91	155	58
ENSG00000006451	RALA	1880	2122	2120	1864	1300	856	1229	1112
ENSG00000006453	BAIAP2L1	377	417	438	351	334	274	414	286
ENSG00000006459	KDM7A	238	270	185	114	200	79	67	172
ENSG00000006468	ETV1	1295	1258	1067	903	925	1155	712	1226
ENSG00000006530	AGK	802	888	1009	790	519	470	423	535
ENSG00000006534	ALDH3B1	833	1605	2276	1390	708	272	365	362
ENSG00000006555	TTC22	0	0	0	0	1	0	0	0
ENSG00000006576	PHTF2	727	677	762	624	496	433	355	496
ENSG00000006606	CCL26	5	6	6	4	29	4	2	1
ENSG00000006607	FARP2	483	524	541	410	418	274	315	401
ENSG00000006611	USH1C	1	0	0	0	0	0	0	0
ENSG00000006625	GGCT	1006	1002	1076	937	714	600	637	835
ENSG00000006634	DBF4	216	158	145	104	96	79	81	156
