ensembl	symbol	D10-DMSO-1	D10-DMSO-2	D10-DMSO-3	D10-DMSO-4	D10-DMSO-5	D10-DMSO-6	D10-GiB-1	D10-GiB-2	D10-GiB-3	D10-GiB-4	D10-GiB-5	D10-GiB-6
ENSG00000000003	TSPAN6	707.1982653	817.2462189	929.1478378	1035.413075	793.0322943	708.7984948	681.3773391	778.4752039	662.7318864	784.2328649	872.9185786	759.6089525
ENSG00000000005	TNMD	0	0	0	0	0	0	2.125122841	0.920197084	0	0	0	0
ENSG00000000419	DPM1	2154.72936	1904.93792	1853.055489	1825.880923	1875.459323	2035.359763	2253.555699	1952.830085	1969.961556	2005.368002	1826.488958	1837.620864
ENSG00000000457	SCYL3	532.1505203	546.1197499	567.4851614	608.7911653	551.115282	573.9944102	526.4007404	537.886493	470.7152626	518.2220094	651.5011889	561.1204788
ENSG00000000460	C1orf112	237.2087802	297.2376914	272.6886907	255.5334291	298.051197	351.5585825	312.1642098	248.2886797	347.4504571	282.7624498	284.7227868	386.1789541
ENSG00000000938	FGR	0	2.189124818	1.969022855	1.223339578	0	12.09572612	0.911584824	0.787489143	0	0	4.313670423	3.03106542
ENSG00000000971	CFH	366.0745196	541.0044766	398.6587768	485.6782555	237.5818313	329.3616203	501.6797175	233.6374052	476.6496958	497.9858766	590.6189739	430.0482499
ENSG00000001036	FUCA2	1009.622724	886.4556381	918.2880454	940.8745834	923.4024184	978.7659669	938.8644162	821.4344148	852.4606734	817.784416	843.5650336	847.1319148
ENSG00000001084	GCLC	701.592112	712.4719975	689.6195019	700.7474721	695.8074654	688.9290126	690.1725294	734.4353051	723.1852458	696.0975898	655.6118404	763.5265252
ENSG00000001167	NFYA	699.3768823	1046.841066	936.897421	920.506594	808.2574697	931.6848176	893.1258384	849.6404277	926.7426424	850.2742551	936.3483653	957.5120712
ENSG00000001460	STPG1	237.7609196	252.1761383	252.7431444	276.3033613	237.6253271	249.8281841	304.1460006	325.137284	254.018724	265.4353468	252.7381686	279.9686452
ENSG00000001461	NIPAL3	1832.815336	1887.035553	2081.381373	1889.882846	2061.243588	1867.886356	1817.484109	1845.284219	1687.221998	1840.918235	1840.042357	2010.798943
ENSG00000001497	LAS1L	1249.587825	1283.714956	1120.729524	1044.278053	1268.740866	1267.791379	1226.136254	1349.118067	1457.237097	1129.366166	1085.75546	1190.798918
ENSG00000001561	ENPP4	111.5413134	122.0363487	97.83496287	117.7329611	76.31181219	117.5840278	99.85227188	88.14359348	99.63898737	104.0770297	105.058475	115.2209139
ENSG00000001617	SEMA3F	580.6316322	650.5457024	538.6160754	368.2196372	345.566633	596.2039648	346.3597563	310.1320334	1017.646231	607.5534915	316.8754711	311.5494374
ENSG00000001626	CFTR	0	0	0	0.667782106	1.507057151	0	0	0	1.97964252	1.125746747	2.878711974	0
ENSG00000001629	ANKIB1	1572.236298	1773.172625	1772.084207	1669.010301	1617.382534	1802.310174	1610.171246	1674.061047	1701.687985	1693.033573	1699.681242	1737.802662
ENSG00000001630	CYP51A1	1430.256553	1513.210248	1507.548822	1334.514146	1523.932365	1870.678171	1306.662982	1192.763823	1709.288996	1263.043554	945.8318837	1243.018351
ENSG00000001631	KRIT1	263.3389429	539.2599576	539.4155793	483.4174382	500.0288566	473.3486247	448.9338528	560.2175788	459.3395907	385.0476526	310.0745293	503.7352345
ENSG00000002016	RAD52	211.2677023	261.3190149	197.9264119	205.3070016	207.5040187	281.0149174	226.9122113	220.9279559	276.706558	217.647259	191.4107896	236.9779402
ENSG00000002330	BAD	2162.83334	1457.683454	1482.696274	1580.399099	1751.412289	1516.955677	1632.452157	1492.987144	1128.850775	1531.13666	1609.169292	1362.958669
ENSG00000002549	LAP3	1661.862968	1667.005214	1641.953813	1569.524043	1755.364622	1715.528858	1539.569157	1654.204775	1663.753681	1702.160049	1438.343568	1645.407381
ENSG00000002586	CD99	3461.706985	2702.638015	3140.750757	2522.693535	3046.102724	2827.352291	2673.476047	2843.857243	2339.708088	2468.341615	2764.351968	3205.719863
ENSG00000002587	HS3ST1	58.90756528	51.36733389	31.95002007	53.29206376	40.08855461	41.88406696	72.66912206	35.96651929	59.05933816	53.41554164	34.75901129	49.32854625
ENSG00000002726	AOC1	0	0.699171926	0.781538249	0	0.671310168	0	0	1.670735421	0	0	0	0
ENSG00000002745	WNT16	9.266585372	9.509036906	9.191294011	5.95318441	12.06429813	10.26598674	20.83102827	9.124448568	10.89722901	10.28181965	14.58616202	14.63287479
ENSG00000002746	HECW1	116.9413002	165.2606104	136.6695683	189.0681826	107.8574825	142.8882513	138.2495912	107.8835976	82.25760321	173.9527624	149.3616005	142.9728756
ENSG00000002822	MAD1L1	650.7876986	770.9779694	746.7006928	685.5131764	742.4099317	634.691513	688.7789044	802.3247967	709.5062406	641.9678787	710.2072538	692.5907927
ENSG00000002834	LASP1	6719.629699	8303.376838	6974.948122	7137.355027	6605.099992	7479.135218	8998.343814	7937.108681	8397.845316	7499.016038	7061.778912	7693.47746
ENSG00000002919	SNX11	515.0692234	445.1028326	449.118941	449.3938473	419.7078027	394.9444984	444.0818547	388.631068	353.5841635	430.8080521	430.7715565	381.7615346
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	4997.99824	4335.388874	4772.906142	4891.72737	4574.996846	5044.680207	4507.203233	4651.871274	5165.477176	5217.118095	5070.568321	4978.876787
ENSG00000003096	KLHL13	34.16978105	58.0706549	42.51047258	40.9432855	47.08470214	35.11101882	38.56754391	71.38818606	61.25437083	42.68461671	30.17440362	46.74790558
ENSG00000003137	CYP26B1	110.8425888	266.6070609	77.02683366	32.22164388	47.21205482	93.77717648	136.8741147	162.9924559	242.187508	67.59128497	70.86312302	62.78314145
ENSG00000003147	ICA1	175.4379266	164.6746365	134.7373808	212.1734379	159.7629739	160.5728722	188.4740515	198.8666759	148.7274816	234.4436877	241.277248	233.5483849
ENSG00000003249	DBNDD1	337.2128172	382.6590674	385.3379441	395.6608528	482.5119843	351.4475649	177.7566881	261.4875167	179.5284352	281.6501335	356.6902272	321.8052967
ENSG00000003393	ALS2	219.1133096	209.6931651	201.355604	168.1297748	196.9255342	268.2723374	249.1976645	172.9384512	188.6277727	167.2754492	151.7119057	230.6980195
ENSG00000003400	CASP10	85.09260801	108.444615	98.30845707	142.2211611	97.07404568	107.3365204	113.8222681	88.42757379	110.6874619	129.517506	118.8017839	89.99026502
ENSG00000003402	CFLAR	832.4423089	586.9975715	740.749432	749.4004401	587.1090287	609.705265	508.4920677	602.6660547	543.3041808	650.4112077	750.5041883	671.6700563
ENSG00000003436	TFPI	396.0182911	542.2822219	408.1605032	482.3151258	249.2926757	420.1150929	442.3371531	442.5117393	696.5233217	484.1125928	552.1293785	565.2006683
ENSG00000003509	NDUFAF7	446.281822	420.315722	442.951371	440.5475472	431.6837957	527.3095141	467.1525307	482.3484291	466.2228517	531.947435	515.0467149	509.5417268
ENSG00000003756	RBM5	1281.20643	1071.776891	1170.370232	1277.102513	1139.152484	1164.209323	1307.57829	1189.913759	1225.484851	1248.6168	1557.69678	1312.379774
ENSG00000003987	MTMR7	46.3550192	24.36979892	41.41707481	37.98657827	23.56795783	44.91696779	39.67359684	24.97289259	22.94143712	39.28719848	47.61317489	19.52576979
ENSG00000003989	SLC7A2	332.5623451	314.815447	396.1426027	395.3970226	319.7498071	345.6665272	444.2169929	408.4473073	595.6457569	422.0543186	325.6980771	466.6413115
ENSG00000004059	ARF5	2900.088347	2690.264371	2616.280648	2382.225358	2728.744574	2505.48975	3011.800024	2311.823434	2191.492334	2299.451818	2481.929098	2125.121213
ENSG00000004139	SARM1	741.6941558	987.3791684	789.5931435	911.0884614	952.783164	769.4287939	689.4770326	720.3235636	706.3266303	876.8668231	751.4336583	1042.553588
ENSG00000004142	POLDIP2	4053.892903	4573.201187	3901.625661	3773.946814	4301.892215	4064.131392	4287.019408	4368.295725	3884.771298	4049.290867	3557.329148	4187.141462
ENSG00000004399	PLXND1	684.5308158	1167.570335	1023.097169	1113.261327	691.4996856	1061.641613	979.9106619	1269.896946	987.2965671	889.3157616	849.3384108	662.4398143
ENSG00000004455	AK2	3734.395706	3400.517703	3702.53293	3345.212489	3790.155392	3699.788769	3515.375638	3486.453301	3910.306141	3220.30771	2951.267116	3355.776702
ENSG00000004468	CD38	5.200556318	5.331558626	4.568748573	4.478375654	0.837089509	1.622170598	1.066184178	0	0.934289257	5.020903818	1.090613464	2.744196442
