ensembl	symbol	D10-DMSO-1	D10-DMSO-2	D10-DMSO-3	D10-DMSO-4	D10-DMSO-5	D10-DMSO-6	D10-GiB-1	D10-GiB-2	D10-GiB-3	D10-GiB-4	D10-GiB-5	D10-GiB-6
ENSG00000000003	TSPAN6	576	899	786	1398	922	890	626	810	698	636	760	770
ENSG00000000005	TNMD	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000000419	DPM1	1640	2107	1620	2416	2221	2504	2105	2107	2089	1592	1661	1991
ENSG00000000457	SCYL3	428	613	469	856	663	707	501	547	504	422	576	586
ENSG00000000460	C1orf112	169	264	262	265	361	515	270	280	390	189	278	494
ENSG00000000938	FGR	0	3	2	2	0	11	1	1	0	0	2	4
ENSG00000000971	CFH	237	670	346	813	281	484	529	294	542	416	590	526
ENSG00000001036	FUCA2	778	1011	804	1268	1106	1197	880	892	913	656	776	929
ENSG00000001084	GCLC	529	779	604	934	856	836	651	752	764	548	624	787
ENSG00000001167	NFYA	558	1006	766	1177	1031	1047	782	890	977	712	834	988
ENSG00000001460	STPG1	178	296	227	399	287	332	296	343	274	217	240	331
ENSG00000001461	NIPAL3	1390	2224	1789	2571	2419	2304	1718	2021	1855	1483	1721	2315
ENSG00000001497	LAS1L	925	1527	994	1473	1560	1623	1163	1491	1604	928	982	1357
ENSG00000001561	ENPP4	87	131	85	152	89	141	93	94	104	81	95	122
ENSG00000001617	SEMA3F	429	753	470	505	413	739	323	339	1119	490	297	345
ENSG00000001626	CFTR	0	0	0	1	2	0	0	0	4	1	2	0
ENSG00000001629	ANKIB1	1203	2023	1549	2264	1931	2225	1509	1812	1836	1357	1561	1926
ENSG00000001630	CYP51A1	1102	1668	1299	1769	1819	2277	1217	1280	1808	1002	870	1349
ENSG00000001631	KRIT1	201	616	447	643	586	576	428	574	481	301	279	548
ENSG00000002016	RAD52	152	287	174	256	239	296	219	244	284	176	185	242
ENSG00000002330	BAD	1577	1771	1294	2261	2107	1789	1531	1598	1257	1229	1414	1577
ENSG00000002549	LAP3	1270	1917	1453	2181	2093	2151	1458	1821	1832	1368	1324	1859
ENSG00000002586	CD99	2619	3163	2744	3533	3681	3563	2507	3076	2565	2012	2551	3628
ENSG00000002587	HS3ST1	45	59	28	73	48	52	68	39	64	43	32	55
ENSG00000002726	AOC1	0	1	1	0	1	0	0	1	0	0	0	0
ENSG00000002745	WNT16	8	12	9	9	16	14	17	11	13	6	15	18
ENSG00000002746	HECW1	90	190	127	261	133	121	139	119	97	142	148	163
ENSG00000002822	MAD1L1	480	907	621	945	908	819	640	900	778	518	630	815
ENSG00000002834	LASP1	5119	9690	6058	9863	8022	9316	8404	8565	9092	6057	6492	8612
ENSG00000002919	SNX11	362	508	374	591	509	500	431	419	400	344	400	416
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	3775	4879	4163	6358	5474	6134	4135	5027	5520	4028	4470	5307
ENSG00000003096	KLHL13	24	66	39	58	59	46	38	57	59	36	29	54
ENSG00000003137	CYP26B1	74	266	65	57	73	85	89	193	158	65	46	90
ENSG00000003147	ICA1	150	197	120	309	179	200	161	184	171	207	222	246
ENSG00000003249	DBNDD1	259	437	337	542	599	444	168	264	199	232	319	370
ENSG00000003393	ALS2	153	213	239	222	233	292	237	198	249	127	120	310
ENSG00000003400	CASP10	63	112	95	176	119	149	114	114	108	105	104	111
ENSG00000003402	CFLAR	548	637	544	981	691	835	592	698	667	564	780	870
ENSG00000003436	TFPI	310	566	352	621	325	531	458	428	685	386	473	574
ENSG00000003509	NDUFAF7	348	467	396	590	497	655	435	528	498	416	482	565
ENSG00000003756	RBM5	973	1253	1037	1769	1371	1436	1232	1304	1330	979	1399	1452
ENSG00000003987	MTMR7	36	28	35	47	29	50	36	28	24	31	41	22
ENSG00000003989	SLC7A2	256	353	344	517	388	433	413	449	641	340	301	500
ENSG00000004059	ARF5	2208	3116	2250	3321	3329	3107	2831	2515	2345	1852	2254	2380
ENSG00000004139	SARM1	551	1095	602	1248	990	999	688	804	859	762	769	1109
ENSG00000004142	POLDIP2	3171	5236	3359	5162	5188	5032	3958	4801	4252	3282	3329	4675
ENSG00000004399	PLXND1	495	1565	1030	1748	921	1338	966	1221	1547	810	833	890
ENSG00000004455	AK2	2735	3987	3271	4622	4751	4752	3432	3667	4239	2583	3025	4031
ENSG00000004468	CD38	4	6	4	6	1	2	1	0	1	4	1	3
ENSG00000004478	FKBP4	2545	3954	3250	4274	4549	4522	2782	5047	5342	2793	2202	4123
ENSG00000004487	KDM1A	1543	2773	1993	3278	2856	3059	1874	2568	2539	1725	1627	2807
ENSG00000004534	RBM6	784	1192	900	1376	1318	1474	1156	1193	1275	833	962	1303
ENSG00000004660	CAMKK1	147	113	69	134	95	124	105	90	76	82	117	111
ENSG00000004700	RECQL	1410	2219	1756	2556	2217	2512	1670	2111	2025	1567	1631	2233
ENSG00000004766	VPS50	105	166	132	228	238	267	187	195	230	131	125	158
ENSG00000004776	HSPB6	15	34	26	37	34	35	50	44	38	32	34	46
