id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
1	1	Gib-WT	-0.315	1.06e-5	9.05e-5	3336;8523;23188;24570;25954;27969;28733;29978;34828;35531;37338;47424;53324;58673	8737;10475;10476	A0A024QZP7;P06493;A0A087WZZ9;E5RIU6	A0A024QZP7;P06493;A0A087WZZ9;E5RIU6	CDC2;CDK1	Cyclin-dependent kinase 1	297	13	NA	NA
2	1	Gib-WT	0.231	2.51e-5	1.65e-4	154;4064;4129;5401;6726;6843;6949;7542;8874;9246;12687;13477;13606;17262;20538;22583;22584;24265;25800;30626;30843;33086;33732;34251;35029;40919;42658;45421;45606;48881;50708;51929;53467;54378;55591;59733	0;1;2	A0A024R4E5;Q00341;H0Y394;C9JIZ1;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;H7C2D1;C9JMQ6;H7BZC3;C9J739;H7C3D0;C9JHS9	A0A024R4E5;Q00341;H0Y394	HDLBP	Vigilin	1268	36	NA	NA
4	1	Gib-WT	0.0687	0.0352	0.0566	1150;8274;12642;13775;13920;22960;27657;30120;31690;32068;32470;35839;39915;55564	3	A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8	A0A024R571;Q9H4M9;C9JC03;C9J2Z4	EHD1	EH domain-containing protein 1	548	14	NA	NA
6	1	Gib-WT	-0.0339	0.345	0.409	2915;7431;9930;10236;20566;23124;24590;29879;43520;49659;49849;53633;60399	NA	A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739	A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739	YTHDF3	YTH domain-containing family protein 3	534	10	NA	NA
7	1	Gib-WT	-0.288	7.33e-5	3.62e-4	519;14879;22318;22804;27594;46091;54371	4;5	A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36	A0A024RA52;P25787;A0A7I2V2H3	PSMA2	Proteasome subunit alpha type;Proteasome subunit alpha type-2	234	7	NA	NA
8	1	Gib-WT	0.0179	0.617	0.672	263;1982;6803;8762;11585;16737;18082;19606;22145;22146;30339;35931;36351;37362;40278;44978;46471;46590;49860;52879	6	A0A024RAC6;Q14241	A0A024RAC6;Q14241	TCEB3	Transcription elongation factor B polypeptide 3	772	20	NA	NA
11	1	Gib-WT	-0.142	0.0436	0.0681	4287;11115;14976	NA	G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK6;A0A0G2JLK3	G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5;A0A0G2JLK6	PPT2;hCG_1999928	Lysosomal thioesterase PPT2	180	3	NA	NA
12	1	Gib-WT	0.163	3.29e-4	0.00113	2433;4271;5191;8377;13981;14300;20664;20770;27732;32711;34866;35157;43797;50950;52148;55311;55758;55950;60782;60783	8;9;10;11	P46379;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6X9W3;F6U341;F6VEM6;F6WML8;A0A1B0GX79;H0Y710;F6UR09;A0A0G2JJR8;A0A7I2V3H1;F6XTU0;F6U1F2;F6TC96	P46379;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A0G2JL47	BAG6;BAT3	Large proline-rich protein BAG6	1132	20	NA	NA
18	1	Gib-WT	-0.777	0.00279	0.00653	15796;29850;47104	16	Q9C0C7;A0A075B6T1;H0YE34	Q9C0C7;A0A075B6T1	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1	1298	3	NA	NA
19	1	Gib-WT	0.448	2.15e-6	3.44e-5	9047;23795;30578;30579;42708;43766;54457;54458	NA	H0YN88;A0A075B716;H3BNC9;P08708;H0YN73;A0A0J9YYC4	H0YN88;A0A075B716;H3BNC9;P08708;H0YN73	RPS17	40S ribosomal protein S17	136	8	NA	NA
21	1	Gib-WT	0.103	0.0262	0.0437	3581;7169;14474;14475;25882;32095;32113;39736;49083;55122	NA	A0A087WX83;A0A075B749;Q5VU43;E9PQG4;H0YEW6	A0A087WX83;A0A075B749;Q5VU43;E9PQG4	PDE4DIP	Myomegalin	2431	9	NA	NA
